,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_min_impurity_decrease,param_min_samples_leaf,param_min_samples_split,param_min_weight_fraction_leaf,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0,0.22992412249247232,0.03064103887508963,0.0370020866394043,0.0004454354603548245,13,0.8538294638882331,7,4,0.06158858292902615,127,"OrderedDict([('max_depth', 13), ('min_impurity_decrease', 0.8538294638882331), ('min_samples_leaf', 7), ('min_samples_split', 4), ('min_weight_fraction_leaf', 0.06158858292902615), ('n_estimators', 127)])",-2.598558156048359,-2.5562455893800067,-2.5378220535609723,-2.5642085996631128,0.02542670100394749,40
1,0.1426850954691569,0.0060077305184780515,0.03627626101175944,0.00037180337590337356,74,0.22770058797988824,8,3,0.22328653879866012,77,"OrderedDict([('max_depth', 74), ('min_impurity_decrease', 0.22770058797988824), ('min_samples_leaf', 8), ('min_samples_split', 3), ('min_weight_fraction_leaf', 0.22328653879866012), ('n_estimators', 77)])",-2.550418421667473,-2.5135894427246335,-2.5107038006251248,-2.524903888339077,0.01807992055303312,37
2,0.0881495475769043,0.027859623568870204,0.021010796229044598,0.0003034849272157309,56,0.09155820410708915,8,6,0.4147916961708897,31,"OrderedDict([('max_depth', 56), ('min_impurity_decrease', 0.09155820410708915), ('min_samples_leaf', 8), ('min_samples_split', 6), ('min_weight_fraction_leaf', 0.4147916961708897), ('n_estimators', 31)])",-2.6038000995133586,-2.580762371166018,-2.587324291402514,-2.590628920693963,0.009691049579101173,47
3,0.1785148779551188,0.004360524008286827,0.03676152229309082,0.00039922895033649933,26,0.44377015673688924,6,2,0.27615408018406445,108,"OrderedDict([('max_depth', 26), ('min_impurity_decrease', 0.44377015673688924), ('min_samples_leaf', 6), ('min_samples_split', 2), ('min_weight_fraction_leaf', 0.27615408018406445), ('n_estimators', 108)])",-2.5949091608369197,-2.5561915305541327,-2.5373390301554366,-2.562813240515496,0.023964769541698454,39
4,0.30998873710632324,0.0026449945552252906,0.058409929275512695,0.00043083022289375076,19,0.47199368189430274,3,3,0.47712551776786943,239,"OrderedDict([('max_depth', 19), ('min_impurity_decrease', 0.47199368189430274), ('min_samples_leaf', 3), ('min_samples_split', 3), ('min_weight_fraction_leaf', 0.47712551776786943), ('n_estimators', 239)])",-2.609184064525885,-2.5647019003964115,-2.5962884013751606,-2.5900581220991525,0.018686501657669854,46
5,0.23280898729960123,0.001520635396285843,0.06764284769694011,0.02822196711611629,76,0.23433480146524752,5,4,0.3626351268301348,168,"OrderedDict([('max_depth', 76), ('min_impurity_decrease', 0.23433480146524752), ('min_samples_leaf', 5), ('min_samples_split', 4), ('min_weight_fraction_leaf', 0.3626351268301348), ('n_estimators', 168)])",-2.5933147900095843,-2.5672776517647966,-2.553944825735227,-2.5715124225032024,0.016349281006539512,44
6,0.19811860720316568,0.004373746200231978,0.03796180089314779,0.00042835166585640944,53,0.8848988620871776,5,2,0.46744326632479705,143,"OrderedDict([('max_depth', 53), ('min_impurity_decrease', 0.8848988620871776), ('min_samples_leaf', 5), ('min_samples_split', 2), ('min_weight_fraction_leaf', 0.46744326632479705), ('n_estimators', 143)])",-2.60816133689702,-2.580707810422342,-2.5998819980701926,-2.5962503817965183,0.011498275422670259,50
7,0.1128069559733073,0.002589830455672944,0.028987884521484375,0.005027307188306692,91,0.26616768958530984,3,5,0.46465605922675596,65,"OrderedDict([('max_depth', 91), ('min_impurity_decrease', 0.26616768958530984), ('min_samples_leaf', 3), ('min_samples_split', 5), ('min_weight_fraction_leaf', 0.46465605922675596), ('n_estimators', 65)])",-2.600873426498238,-2.5847155528281327,-2.5982000152416753,-2.594596331522682,0.00707149784438318,49
8,0.22454134623209634,0.024654281405926255,0.04429499308268229,0.004727065751553323,43,0.3385804225132143,8,9,0.3686941375137138,143,"OrderedDict([('max_depth', 43), ('min_impurity_decrease', 0.3385804225132143), ('min_samples_leaf', 8), ('min_samples_split', 9), ('min_weight_fraction_leaf', 0.3686941375137138), ('n_estimators', 143)])",-2.590688098031961,-2.5761398531806083,-2.5558557798952384,-2.5742279103692693,0.01428435602748301,45
9,0.3801536560058594,0.0029414217217136867,0.05945809682210287,0.0005056449940713107,94,0.56972794495114,2,4,0.1562658738214802,250,"OrderedDict([('max_depth', 94), ('min_impurity_decrease', 0.56972794495114), ('min_samples_leaf', 2), ('min_samples_split', 4), ('min_weight_fraction_leaf', 0.1562658738214802), ('n_estimators', 250)])",-2.570016937939893,-2.515220547167641,-2.4629080568471715,-2.516048513984902,0.04373093679171577,36
