,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_min_impurity_decrease,param_min_samples_leaf,param_min_samples_split,param_min_weight_fraction_leaf,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0,1.6382328669230144,0.06809437107030802,0.10145155588785808,0.014398893397801057,82,0.47695176161983693,6,8,0.24676634509712125,799,"OrderedDict([('max_depth', 82), ('min_impurity_decrease', 0.47695176161983693), ('min_samples_leaf', 6), ('min_samples_split', 8), ('min_weight_fraction_leaf', 0.24676634509712125), ('n_estimators', 799)])",-20.089441997017307,-22.100315717237553,-21.043352050612633,-21.077703254955832,0.8212950276232346,44
1,0.8349078496297201,0.0067823584013491185,0.08321277300516765,0.026393254820292512,99,0.2267065169664314,8,8,0.2390748029554598,370,"OrderedDict([('max_depth', 99), ('min_impurity_decrease', 0.2267065169664314), ('min_samples_leaf', 8), ('min_samples_split', 8), ('min_weight_fraction_leaf', 0.2390748029554598), ('n_estimators', 370)])",-20.014363225638608,-22.124671838356814,-21.029021249479275,-21.056018771158232,0.8617413609897752,43
2,1.1769498189290364,0.024227519394116583,0.12122472127278645,0.011520940963727539,69,0.7608710186837855,8,3,0.4584400547214466,882,"OrderedDict([('max_depth', 69), ('min_impurity_decrease', 0.7608710186837855), ('min_samples_leaf', 8), ('min_samples_split', 3), ('min_weight_fraction_leaf', 0.4584400547214466), ('n_estimators', 882)])",-20.7399051501205,-23.575758487747727,-22.09737882282275,-22.137680820230326,1.158082963746309,49
3,0.8507129351298014,0.0371611332180919,0.05623952547709147,0.005393739204070772,86,0.45068092533972254,8,6,0.2850603342224864,392,"OrderedDict([('max_depth', 86), ('min_impurity_decrease', 0.45068092533972254), ('min_samples_leaf', 8), ('min_samples_split', 6), ('min_weight_fraction_leaf', 0.2850603342224864), ('n_estimators', 392)])",-20.216839503817347,-22.34104312072136,-21.065814598305188,-21.207899074281297,0.8730029592359451,46
4,1.0062219301859539,0.022915305764141386,0.08499693870544434,0.010928674400314635,99,0.673802685811253,6,4,0.3752930931159547,717,"OrderedDict([('max_depth', 99), ('min_impurity_decrease', 0.673802685811253), ('min_samples_leaf', 6), ('min_samples_split', 4), ('min_weight_fraction_leaf', 0.3752930931159547), ('n_estimators', 717)])",-20.501880731525752,-23.663201049402744,-22.125836711094554,-22.09697283067435,1.2907649878399388,47
5,1.8095595836639404,0.01563873603917201,0.11311690012613933,0.019990674423875598,95,0.5864560969077324,8,4,0.17982724549935322,754,"OrderedDict([('max_depth', 95), ('min_impurity_decrease', 0.5864560969077324), ('min_samples_leaf', 8), ('min_samples_split', 4), ('min_weight_fraction_leaf', 0.17982724549935322), ('n_estimators', 754)])",-19.5399621528143,-21.11838287160407,-20.345777818190594,-20.334707614202987,0.6444351032433744,41
6,0.5884979565938314,0.009149087606616589,0.0566862424214681,0.005699878238961819,60,0.02134816489989701,6,4,0.37347318805582236,371,"OrderedDict([('max_depth', 60), ('min_impurity_decrease', 0.02134816489989701), ('min_samples_leaf', 6), ('min_samples_split', 4), ('min_weight_fraction_leaf', 0.37347318805582236), ('n_estimators', 371)])",-20.43838000291922,-23.641602442483993,-22.242520997217845,-22.107501147540358,1.3111906215822886,48
7,1.896705945332845,0.07213100374442767,0.07040794690450032,0.0033374351408805214,50,0.14394063773125917,4,6,0.05988749379972559,437,"OrderedDict([('max_depth', 50), ('min_impurity_decrease', 0.14394063773125917), ('min_samples_leaf', 4), ('min_samples_split', 6), ('min_weight_fraction_leaf', 0.05988749379972559), ('n_estimators', 437)])",-18.091190832211,-18.78541857327335,-19.019077265346795,-18.631895556943714,0.39405608366202405,38
8,1.8314658006032307,0.026547275933307843,0.1158445676167806,0.0030100670100394545,62,0.17168317104837005,6,6,0.22488412098800642,884,"OrderedDict([('max_depth', 62), ('min_impurity_decrease', 0.17168317104837005), ('min_samples_leaf', 6), ('min_samples_split', 6), ('min_weight_fraction_leaf', 0.22488412098800642), ('n_estimators', 884)])",-19.926384555652955,-21.92894192567926,-20.80962589062993,-20.888317457320714,0.819432029746969,42
9,1.2099571228027344,0.022416088191904285,0.0800474484761556,0.0050533476410506185,65,0.8287848140067458,7,6,0.25579980132408997,593,"OrderedDict([('max_depth', 65), ('min_impurity_decrease', 0.8287848140067458), ('min_samples_leaf', 7), ('min_samples_split', 6), ('min_weight_fraction_leaf', 0.25579980132408997), ('n_estimators', 593)])",-20.201473775964576,-22.255082171455193,-21.136029433604715,-21.1975284603415,0.8395091654153494,45
10,6.652863184611003,0.07030250339375824,0.11170776685078938,0.015451594528833419,100,0.0,2,10,0.0,1000,"OrderedDict([('max_depth', 100), ('min_impurity_decrease', 0.0), ('min_samples_leaf', 2), ('min_samples_split', 10), ('min_weight_fraction_leaf', 0.0), ('n_estimators', 1000)])",-17.638754042000155,-18.17447360198891,-18.692485735479973,-18.16857112648968,0.43020440868167603,31
11,1.744150718053182,0.06608522801199833,0.07083694140116374,0.028074577949678853,45,0.9,9,2,0.0,300,"OrderedDict([('max_depth', 45), ('min_impurity_decrease', 0.9), ('min_samples_leaf', 9), ('min_samples_split', 2), ('min_weight_fraction_leaf', 0.0), ('n_estimators', 300)])",-17.730668137545898,-18.278743485410327,-18.74002532094123,-18.249812314632482,0.41257584385570556,34
