,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_base_estimator__n_neighbors,param_base_estimator__p,param_max_features,param_max_samples,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0,0.4924458662668864,0.3777339440176508,0.39183346430460614,0.008601970479550893,17,1,0.7443354628125505,0.3935074316305833,25,"OrderedDict([('base_estimator__n_neighbors', 17), ('base_estimator__p', 1), ('max_features', 0.7443354628125505), ('max_samples', 0.3935074316305833), ('n_estimators', 25)])",-1.929480623158568,-2.214978819785222,-2.15162474171649,-2.098694728220093,0.12241594344913964,40
1,3.1402064164479575,0.1124956612475452,5.698287804921468,0.12725453538023482,15,1,0.9187125546416657,0.49437046302838816,529,"OrderedDict([('base_estimator__n_neighbors', 15), ('base_estimator__p', 1), ('max_features', 0.9187125546416657), ('max_samples', 0.49437046302838816), ('n_estimators', 529)])",-1.923000244166941,-2.157779481586253,-2.1346128317332425,-2.071797519162146,0.10563978165082795,31
2,10.44171635309855,0.22576198642785028,17.767308473587036,0.3229146372442263,6,1,0.9522016686054913,0.9478627290814535,837,"OrderedDict([('base_estimator__n_neighbors', 6), ('base_estimator__p', 1), ('max_features', 0.9522016686054913), ('max_samples', 0.9478627290814535), ('n_estimators', 837)])",-1.9561256498066117,-2.144851003315114,-2.089135636241521,-2.0633707631210823,0.07917148594206341,28
3,0.3596429030100505,0.05366521107531172,0.6936202843983968,0.02928770342363731,4,1,0.12931201856777672,0.17041894676519995,748,"OrderedDict([('base_estimator__n_neighbors', 4), ('base_estimator__p', 1), ('max_features', 0.12931201856777672), ('max_samples', 0.17041894676519995), ('n_estimators', 748)])",-1.9282370602594237,-2.172677135891897,-2.123005560694639,-2.074639918948653,0.10548985455144685,35
4,1.6338040033976238,0.16613542213839558,3.2703522046407065,0.045406382365904205,18,1,0.9742399827045725,0.5039164193385305,256,"OrderedDict([('base_estimator__n_neighbors', 18), ('base_estimator__p', 1), ('max_features', 0.9742399827045725), ('max_samples', 0.5039164193385305), ('n_estimators', 256)])",-1.9222591601615573,-2.173232794146656,-2.1384035038783824,-2.0779651527288654,0.11101512496405114,38
5,2.942546765009562,0.1401506649834699,5.53584082921346,0.1109059366624107,10,1,0.8857188470943104,0.31769234993691253,768,"OrderedDict([('base_estimator__n_neighbors', 10), ('base_estimator__p', 1), ('max_features', 0.8857188470943104), ('max_samples', 0.31769234993691253), ('n_estimators', 768)])",-1.9243090691024114,-2.166962770498056,-2.1363634493603425,-2.0758784296536033,0.1079012910239265,36
6,1.9276099999745686,0.11279949471987828,3.512293497721354,0.09799524723462731,17,1,0.3127734199081478,0.5461319742197992,824,"OrderedDict([('base_estimator__n_neighbors', 17), ('base_estimator__p', 1), ('max_features', 0.3127734199081478), ('max_samples', 0.5461319742197992), ('n_estimators', 824)])",-1.9301316459040099,-2.1725537083095374,-2.1267377302811745,-2.076474361498241,0.10515676794289652,37
7,6.801211039225261,0.32047042325659125,4.456992149353027,0.21165398223394655,15,2,0.9440204950500647,0.5270616252941139,993,"OrderedDict([('base_estimator__n_neighbors', 15), ('base_estimator__p', 2), ('max_features', 0.9440204950500647), ('max_samples', 0.5270616252941139), ('n_estimators', 993)])",-1.9942587779288352,-2.2267622007507595,-2.207001219488698,-2.1426740660560974,0.10525507876118094,45
8,4.705845276514689,0.21382827796195605,6.843251387278239,0.027435659377380836,4,1,0.383325822476276,0.943885493179143,846,"OrderedDict([('base_estimator__n_neighbors', 4), ('base_estimator__p', 1), ('max_features', 0.383325822476276), ('max_samples', 0.943885493179143), ('n_estimators', 846)])",-1.9596025217985535,-2.1180539788924966,-2.0609423127858193,-2.04619960449229,0.0655221420573203,19
9,0.27933518091837567,0.008483530426410188,0.32805069287618,0.005917864571095644,12,2,0.15128665536488933,0.25531878938072383,239,"OrderedDict([('base_estimator__n_neighbors', 12), ('base_estimator__p', 2), ('max_features', 0.15128665536488933), ('max_samples', 0.25531878938072383), ('n_estimators', 239)])",-2.0099770429846204,-2.287189685281353,-2.227463870117597,-2.174876866127857,0.11912390469240217,47
10,1.4953320821126301,0.04534791032871404,2.8182992140452066,0.11502178344410974,1,1,0.1,1.0,1000,"OrderedDict([('base_estimator__n_neighbors', 1), ('base_estimator__p', 1), ('max_features', 0.1), ('max_samples', 1.0), ('n_estimators', 1000)])",-1.8978180994836955,-2.1096439591389644,-2.027646909909836,-2.011702989510832,0.08720934641401977,7
11,0.5371805826822916,0.5400516576101594,0.20482985178629556,0.0413913685865048,1,1,0.1,1.0,10,"OrderedDict([('base_estimator__n_neighbors', 1), ('base_estimator__p', 1), ('max_features', 0.1), ('max_samples', 1.0), ('n_estimators', 10)])",-1.982273645652174,-2.151482586376022,-2.0821728284153003,-2.0719763534811655,0.06945450540237842,32
12,0.5904382069905599,0.441450249102405,0.2664632002512614,0.02510408441127879,2,2,0.9984707286298669,0.9962998235737319,12,"OrderedDict([('base_estimator__n_neighbors', 2), ('base_estimator__p', 2), ('max_features', 0.9984707286298669), ('max_samples', 0.9962998235737319), ('n_estimators', 12)])",-2.312028810122283,-2.399300032243415,-2.2975306358151184,-2.3362864927269382,0.04494870325423642,50
13,0.5465651353200277,0.5534259587692585,0.1927488644917806,0.060379722653924356,20,2,0.1,1.0,10,"OrderedDict([('base_estimator__n_neighbors', 20), ('base_estimator__p', 2), ('max_features', 0.1), ('max_samples', 1.0), ('n_estimators', 10)])",-1.9732903568206521,-2.227032800108992,-2.16991056931694,-2.1234112420821947,0.10868286420114573,44
