,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_estimator__leaf_size,param_estimator__n_neighbors,param_estimator__p,param_max_features,param_max_samples,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0,0.9679834842681885,0.38689271590157004,0.7904830773671468,0.05451009946587535,51,17,1,0.990679753997484,0.7627786073487443,89,"OrderedDict([('estimator__leaf_size', 51), ('estimator__n_neighbors', 17), ('estimator__p', 1), ('max_features', 0.990679753997484), ('max_samples', 0.7627786073487443), ('n_estimators', 89)])",-2.0885018127801804,-2.3865404309715434,-2.1496642857638166,-2.2082355098385134,0.1285293629242245,23
1,0.38084856669108075,0.36218042218554997,0.1659867763519287,0.061776850862766915,23,10,2,0.10049263994622115,0.5972574821113006,6,"OrderedDict([('estimator__leaf_size', 23), ('estimator__n_neighbors', 10), ('estimator__p', 2), ('max_features', 0.10049263994622115), ('max_samples', 0.5972574821113006), ('n_estimators', 6)])",-2.252867427762681,-2.560494598501362,-2.3128255755009106,-2.375395867254985,0.13315379604505925,49
2,0.46702178319295246,0.4454022143893388,0.21349151929219565,0.016306525814363246,68,17,1,0.3373012253017724,0.17439742766143917,49,"OrderedDict([('estimator__leaf_size', 68), ('estimator__n_neighbors', 17), ('estimator__p', 1), ('max_features', 0.3373012253017724), ('max_samples', 0.17439742766143917), ('n_estimators', 49)])",-2.149257230981523,-2.4761438154629696,-2.2762859462079916,-2.3005623308841616,0.1345504042312656,42
3,0.5594735145568848,0.05342021706096704,0.6894416809082031,0.1275225027360236,76,16,1,0.6658360361429964,0.710584196829146,96,"OrderedDict([('estimator__leaf_size', 76), ('estimator__n_neighbors', 16), ('estimator__p', 1), ('max_features', 0.6658360361429964), ('max_samples', 0.710584196829146), ('n_estimators', 96)])",-2.0817022551941804,-2.377405125766349,-2.1537361700268245,-2.204281183662451,0.1258998165704897,16
4,0.2595090866088867,0.13085503622560568,0.19881733258565268,0.005164741666192952,15,16,1,0.10954857246076989,0.9204748683412557,60,"OrderedDict([('estimator__leaf_size', 15), ('estimator__n_neighbors', 16), ('estimator__p', 1), ('max_features', 0.10954857246076989), ('max_samples', 0.9204748683412557), ('n_estimators', 60)])",-2.110389208571105,-2.3729607853740915,-2.181743056568761,-2.2216976835046527,0.11085497251331387,31
5,0.22120269139607748,0.012339905777290838,0.3628176848093669,0.16407330529417657,96,17,1,0.2611807115116053,0.8205977063198954,63,"OrderedDict([('estimator__leaf_size', 96), ('estimator__n_neighbors', 17), ('estimator__p', 1), ('max_features', 0.2611807115116053), ('max_samples', 0.8205977063198954), ('n_estimators', 63)])",-2.0854513100084233,-2.3786692017442763,-2.1608884894664606,-2.20833633373972,0.1243185597651968,25
6,0.9546716213226318,0.021454411961881203,0.8298285007476807,0.008266977319756624,84,12,1,0.9592269395889905,0.977379097964077,89,"OrderedDict([('estimator__leaf_size', 84), ('estimator__n_neighbors', 12), ('estimator__p', 1), ('max_features', 0.9592269395889905), ('max_samples', 0.977379097964077), ('n_estimators', 89)])",-2.1255820524446345,-2.362513520096644,-2.1569795603932587,-2.215025044311512,0.1050748582151854,28
7,0.42661476135253906,0.4690381141104121,0.16799751917521158,0.026830838829739793,68,19,2,0.31321339923220615,0.5439659637928245,25,"OrderedDict([('estimator__leaf_size', 68), ('estimator__n_neighbors', 19), ('estimator__p', 2), ('max_features', 0.31321339923220615), ('max_samples', 0.5439659637928245), ('n_estimators', 25)])",-2.201799519908467,-2.5169291876093505,-2.3113658660511938,-2.343364857856337,0.13062574650179434,46
8,0.40084679921468097,0.3245566560283368,0.2643584410349528,0.03578647697854815,70,11,1,0.5272872312015919,0.7823026520854723,21,"OrderedDict([('estimator__leaf_size', 70), ('estimator__n_neighbors', 11), ('estimator__p', 1), ('max_features', 0.5272872312015919), ('max_samples', 0.7823026520854723), ('n_estimators', 21)])",-2.10370115425607,-2.3582734791275937,-2.1431119295649705,-2.2016955209828777,0.11188027837883487,6
9,0.6747739315032959,0.5100066672543245,0.5552912553151449,0.08326167698007167,82,20,1,0.7720552502308652,0.5880369804979206,66,"OrderedDict([('estimator__leaf_size', 82), ('estimator__n_neighbors', 20), ('estimator__p', 1), ('max_features', 0.7720552502308652), ('max_samples', 0.5880369804979206), ('n_estimators', 66)])",-2.086471788885458,-2.3921775614338205,-2.1696010189518136,-2.2160834564236973,0.12905933412541565,29
10,0.7045665582021078,0.02859870695855464,0.6958345572153727,0.04021559803269819,100,3,1,1.0,0.6468549423001333,100,"OrderedDict([('estimator__leaf_size', 100), ('estimator__n_neighbors', 3), ('estimator__p', 1), ('max_features', 1.0), ('max_samples', 0.6468549423001333), ('n_estimators', 100)])",-2.2209797865579715,-2.353529544959128,-2.1990988893715846,-2.2578694069628944,0.06822922109338056,37
11,0.4041445255279541,0.39617112790746783,0.17279632886250815,0.05685770977475377,100,3,1,0.1,1.0,5,"OrderedDict([('estimator__leaf_size', 100), ('estimator__n_neighbors', 3), ('estimator__p', 1), ('max_features', 0.1), ('max_samples', 1.0), ('n_estimators', 5)])",-2.299969660507246,-2.4423777691189827,-2.333875705282332,-2.3587410449695203,0.06073840733238723,47
12,0.9735197226206461,0.48392554737045834,0.7977429231007894,0.09943404111122911,100,11,1,1.0,0.6378875347332408,100,"OrderedDict([('estimator__leaf_size', 100), ('estimator__n_neighbors', 11), ('estimator__p', 1), ('max_features', 1.0), ('max_samples', 0.6378875347332408), ('n_estimators', 100)])",-2.0954226953631423,-2.380732553158286,-2.1466482686587183,-2.207601172393382,0.1241957355522233,22
