,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_alpha,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0,0.007390419642130534,0.0005906850757749158,0.0013840993245442708,4.0769964319165544e-05,0.04814176450203153,"OrderedDict([('alpha', 0.04814176450203153)])",-2.8919659424889588,-2.8333886883078794,-2.752303707357788,-2.8258861127182087,0.05726314382344989,23
1,0.008980274200439453,0.0013300059857701892,0.0014740626017252605,0.00013452419578508114,0.024809761394680864,"OrderedDict([('alpha', 0.024809761394680864)])",-2.891859615843261,-2.832783512274734,-2.752293156686653,-2.8256454282682157,0.057200893424499195,16
2,0.01268927256266276,0.0038410967068714832,0.001569986343383789,0.0001452817783704985,0.01554747437468571,"OrderedDict([('alpha', 0.01554747437468571)])",-2.8916943513247713,-2.8341645145281396,-2.752553156790703,-2.8261373408812047,0.05708703671681456,43
3,0.009540478388468424,0.0010888271599214132,0.0016849040985107422,0.00024204922990748906,0.05272177079980164,"OrderedDict([('alpha', 0.05272177079980164)])",-2.8919882903434306,-2.8333886883078794,-2.752301139331045,-2.8258927059941183,0.05727284029174398,24
4,0.008066177368164062,0.0007998853669703974,0.0015343825022379558,0.00015532457577103,0.0970227309256841,"OrderedDict([('alpha', 0.0970227309256841)])",-2.892204454109481,-2.8333886883078794,-2.75210017915207,-2.825897773856477,0.05744207119538857,28
5,0.008789539337158203,0.001590723435360988,0.00151824951171875,0.00017225848211911276,0.046395159226112315,"OrderedDict([('alpha', 0.046395159226112315)])",-2.891957420037681,-2.8333886883078794,-2.7523020363736412,-2.8258827149064003,0.05726058140416977,19
6,0.009038209915161133,0.0005644742007070941,0.0016724268595377605,0.00011359710567065916,0.06700272711928151,"OrderedDict([('alpha', 0.06700272711928151)])",-2.892057973377208,-2.8333886883078794,-2.752299826345353,-2.825915496010147,0.05730021156321374,39
7,0.008613824844360352,0.0006901233511764545,0.0015959739685058594,0.000128550881961779,0.08192804053189331,"OrderedDict([('alpha', 0.08192804053189331)])",-2.8921308005111483,-2.8333886883078794,-2.752204430233256,-2.825907973017428,0.05736908633709189,33
8,0.014384826024373373,0.0028997497630562246,0.001607656478881836,0.00010794298590859565,0.011875570243721314,"OrderedDict([('alpha', 0.011875570243721314)])",-2.8916513037128073,-2.8347692181818704,-2.75288674630337,-2.8264357560660156,0.056956038845098464,46
9,0.007848501205444336,0.0010442819406283057,0.001491864522298177,0.00013730927790802652,0.09534573540866641,"OrderedDict([('alpha', 0.09534573540866641)])",-2.8921962713146714,-2.8333886883078794,-2.7521116868510114,-2.8258988821578543,0.05743399456891242,30
10,0.010669549306233725,0.0008974550438772721,0.0017906030019124348,2.3570369369270003e-05,0.027798281907039216,"OrderedDict([('alpha', 0.027798281907039216)])",-2.89187285957329,-2.832343862850701,-2.7522937501379987,-2.825503490853997,0.05718784815254161,14
11,0.010153532028198242,0.0007968767142388793,0.0017251968383789062,4.770278549346848e-05,0.033689713280835525,"OrderedDict([('alpha', 0.033689713280835525)])",-2.891898955593424,-2.8318606498825774,-2.7522955087880185,-2.8253517047546732,0.05717840714230011,8
12,0.008980830510457357,0.00028705770742679397,0.0017119248708089192,3.030219999498018e-05,0.09452222747864494,"OrderedDict([('alpha', 0.09452222747864494)])",-2.8921922530591977,-2.8333886883078794,-2.7521173378388872,-2.8258994264019885,0.05743002844862936,31
13,0.014080683390299479,0.0011554605834974408,0.0017240047454833984,9.448918627231502e-06,0.05598155383784703,"OrderedDict([('alpha', 0.05598155383784703)])",-2.8920041962510226,-2.8333886883078794,-2.7522985424805153,-2.8258971423464723,0.05728007140085236,26
14,0.014490207036336264,0.0017720890511324213,0.0016578833262125652,5.8763072972868335e-05,0.03227637622690261,"OrderedDict([('alpha', 0.03227637622690261)])",-2.891892704400178,-2.8318608983955946,-2.7522949716108407,-2.8253495248022045,0.057176220229132185,2
15,0.01410969098409017,0.0010047492311502462,0.0016977787017822266,4.050777733286113e-06,0.032917845643364696,"OrderedDict([('alpha', 0.032917845643364696)])",-2.891895533859226,-2.831860785603321,-2.752295215418735,-2.8253505116270943,0.057177209781554154,7
16,0.013360977172851562,0.00025902200865611676,0.0017080307006835938,1.6980804341213998e-05,0.06484779297150493,"OrderedDict([('alpha', 0.06484779297150493)])",-2.892047458510721,-2.8333886883078794,-2.752297927693963,-2.8259113581708544,0.057296978921868476,35
17,0.01346294085184733,0.0008611550215152113,0.0017075538635253906,3.699254608235411e-05,0.0471906249072446,"OrderedDict([('alpha', 0.0471906249072446)])",-2.891961301462753,-2.8333886883078794,-2.7523027781926404,-2.825884255987758,0.057261756631761536,21
18,0.013663927714029947,0.0004245590420102431,0.001656929651896159,8.189029388726877e-05,0.0328755926094007,"OrderedDict([('alpha', 0.0328755926094007)])",-2.891895346549065,-2.83186079303285,-2.75229519935932,-2.825350446313745,0.05717714423702206,4
19,0.013167937596638998,0.0004801956687088931,0.0016930103302001953,1.2812641947311786e-05,0.05343873373059624,"OrderedDict([('alpha', 0.05343873373059624)])",-2.8919917887192406,-2.8333886883078794,-2.7523005592585545,-2.8258936787618913,0.057274434512734944,25
20,0.02188873291015625,0.001459797106050419,0.0015139579772949219,0.00027094653513842656,0.016471202479686167,"OrderedDict([('alpha', 0.016471202479686167)])",-2.8917293093026006,-2.834024513792263,-2.7525004422234844,-2.826084755106116,0.0571165427468507,41
21,0.013363043467203775,0.0002251821372768981,0.001691579818725586,9.901310505615249e-06,0.056449668713183264,"OrderedDict([('alpha', 0.056449668713183264)])",-2.892006480388299,-2.8333886883078794,-2.752298167743832,-2.825897778813337,0.05728111061122233,29
22,0.01417080561319987,0.0011863234513641808,0.0017158190409342449,2.4334532540202655e-05,0.032893222727240344,"OrderedDict([('alpha', 0.032893222727240344)])",-2.891895424704404,-2.831860789932872,-2.7522952060601265,-2.8253504735658006,0.057177171585531913,5
23,0.012516260147094727,0.0005514734947063923,0.0018051465352376301,0.0002677056225613293,0.07505795953412146,"OrderedDict([('alpha', 0.07505795953412146)])",-2.8920972783803105,-2.8333886883078794,-2.7522523654017843,-2.8259127773633246,0.057335659961499676,36
24,0.013877471288045248,0.0012566324821711783,0.00189208984375,0.00028809883934363277,0.032899385478417704,"OrderedDict([('alpha', 0.032899385478417704)])",-2.8918954520242393,-2.8318607888492493,-2.752295208402447,-2.8253504830919787,0.057177181145428996,6
25,0.017980496088663738,0.003623201272184905,0.0017084280649820964,5.969464606670991e-06,0.01577208646546979,"OrderedDict([('alpha', 0.01577208646546979)])",-2.891703878203071,-2.834130430988928,-2.7525402750212433,-2.826124861404414,0.05709462304465376,42
26,0.03813664118448893,0.017546518887801545,0.0016120274861653645,1.885500923962519e-05,0.004787734900250709,"OrderedDict([('alpha', 0.004787734900250709)])",-2.8914871981224413,-2.8358309366177745,-2.753304529612187,-2.826874221450801,0.056767241310991014,50
27,0.01617264747619629,0.002077073223490986,0.0015824635823567708,5.479594604472541e-06,0.045163517324680026,"OrderedDict([('alpha', 0.045163517324680026)])",-2.8919514103180024,-2.8333886883078794,-2.752300934400336,-2.825880344342073,0.05725874185274721,17
