,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_alpha,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0,0.024713834126790363,0.00322489100782677,0.0012278556823730469,0.00010177783551174263,0.09169485072023964,"OrderedDict([('alpha', 0.09169485072023964)])",-2.336550877369584,-2.649767447094543,-2.472273296413418,-2.4861972069591816,0.12824861624005235,49
1,0.048790693283081055,0.007840550862019692,0.001608451207478841,0.00024601380511813,0.0353499655077046,"OrderedDict([('alpha', 0.0353499655077046)])",-2.1736827717388776,-2.3581417214264313,-2.267582620402614,-2.2664690378559746,0.07530916756732434,37
2,0.6780385176340739,0.26613841457258847,0.0015920003255208333,0.00042532486089883294,0.0024537902631078623,"OrderedDict([('alpha', 0.0024537902631078623)])",-2.4392992860335876,-2.400562930392676,-2.393949244847819,-2.411270487091361,0.02000242296538745,46
3,0.031417131423950195,0.007820857339314221,0.0014944076538085938,0.00011088608633438297,0.08058953026691214,"OrderedDict([('alpha', 0.08058953026691214)])",-2.3027477747262934,-2.5922955148215743,-2.4256958324559577,-2.440246374001275,0.1186542937641887,47
4,0.050472100575764976,0.009470111593692801,0.0013429323832194011,2.5256119708186997e-05,0.0281750603745509,"OrderedDict([('alpha', 0.0281750603745509)])",-2.1578925717032975,-2.319209737889366,-2.241086384905969,-2.239396231499544,0.06586830037015196,35
5,0.029308398564656574,0.004922610461269577,0.0013301372528076172,8.640450706967418e-05,0.08237708422523027,"OrderedDict([('alpha', 0.08237708422523027)])",-2.3082620248922643,-2.602085023413078,-2.432927331499295,-2.4477581266015456,0.12041027912229703,48
6,0.06447227795918782,0.00439027556899426,0.0012769699096679688,0.0001381352613406379,0.009865672803986036,"OrderedDict([('alpha', 0.009865672803986036)])",-2.129119152601229,-2.212828652189948,-2.2201145053164972,-2.1873541033692248,0.041285615187847714,29
7,0.0410460631052653,0.005824579483160709,0.0015666484832763672,0.00016498186680404315,0.04260816123385662,"OrderedDict([('alpha', 0.04260816123385662)])",-2.192177950480625,-2.3968625187703205,-2.2907737470000447,-2.2932714054169967,0.08358078665642638,39
8,0.07067640622456868,0.003118291026404959,0.0016786257425944011,0.0001768680589394992,0.012819372965236206,"OrderedDict([('alpha', 0.012819372965236206)])",-2.1261953504557938,-2.233239273555623,-2.189987488805901,-2.1831407042724393,0.043967861080462446,28
9,0.046946446100870766,0.007218606099028466,0.0015947024027506511,0.00017319916908482125,0.030356687116491234,"OrderedDict([('alpha', 0.030356687116491234)])",-2.1613166235096837,-2.330530457001562,-2.2488696535503907,-2.2469055780205456,0.06909521718020467,36
10,0.03388714790344238,0.007507170453041909,0.0014408429463704426,7.325216576921695e-05,0.05819802810177912,"OrderedDict([('alpha', 0.05819802810177912)])",-2.2360023197292707,-2.4792621576729865,-2.3449003389015437,-2.353388272101267,0.09949161085774334,42
11,0.0653688112894694,0.005574601644314068,0.0015846093495686848,0.00014299766989109264,0.019458757788873817,"OrderedDict([('alpha', 0.019458757788873817)])",-2.145390566954373,-2.2720254304789584,-2.191255471953557,-2.2028904897956294,0.0523490044165859,32
12,0.03350567817687988,0.0029373206294952526,0.0015695889790852864,0.0001050093032537655,0.06764092996624724,"OrderedDict([('alpha', 0.06764092996624724)])",-2.2642020024982794,-2.5245250566579918,-2.376469740289863,-2.388398933148711,0.10661066977076868,44
13,0.09524623552958171,0.013809596246716124,0.001428047815958659,4.089757063743331e-05,0.01138265503192974,"OrderedDict([('alpha', 0.01138265503192974)])",-2.124973877052592,-2.219156523522881,-2.202974733008229,-2.182368377861234,0.041118196526354914,25
14,0.10542774200439453,0.04407883399228843,0.0014837582906087239,6.800388166199178e-05,0.015689049545374933,"OrderedDict([('alpha', 0.015689049545374933)])",-2.136137938713554,-2.2511882857750742,-2.179818405302397,-2.1890482099303417,0.047420372273574415,30
15,0.03631758689880371,0.001538571932753644,0.0016605854034423828,0.00025803543967329863,0.1,"OrderedDict([('alpha', 0.1)])",-2.360937170985123,-2.689988690401947,-2.5093509585523344,-2.5200922733131343,0.1345492660446305,50
16,0.07979718844095866,0.0034756517375820676,0.0013320446014404297,0.0001001938772585766,0.011698115779158098,"OrderedDict([('alpha', 0.011698115779158098)])",-2.125259857302434,-2.2219237594757812,-2.1998018004703694,-2.182328472416195,0.0413518672759462,20
17,0.05066657066345215,0.009916880627784215,0.001706997553507487,0.00024534776501634024,0.0500872982695245,"OrderedDict([('alpha', 0.0500872982695245)])",-2.212731481309848,-2.437366348069797,-2.318891079137328,-2.322996302838991,0.09175273106669359,41
18,0.08713372548421223,0.004523919103816902,0.0013451576232910156,4.257134923552289e-05,0.011627845659442646,"OrderedDict([('alpha', 0.011627845659442646)])",-2.1251572037202417,-2.2212823227640497,-2.2004954683588593,-2.182311664947717,0.04129566286886043,1
19,0.08008662859598796,0.0007590503046426625,0.0012368361155192058,4.925112077010868e-05,0.01164693187118268,"OrderedDict([('alpha', 0.01164693187118268)])",-2.1251850624207504,-2.221450665567444,-2.200309148494496,-2.1823149588275634,0.04130867329126204,8
20,0.09942396481831868,0.012530396126016063,0.0014615058898925781,9.01468182864977e-05,0.011672842124152342,"OrderedDict([('alpha', 0.011672842124152342)])",-2.125225109136686,-2.221688254841015,-2.2000562180251073,-2.182323194000936,0.04132900293639669,17
21,0.0893715222676595,0.005039079021619345,0.001278241475423177,8.8089418412045e-05,0.011508737412757625,"OrderedDict([('alpha', 0.011508737412757625)])",-2.1250572255990905,-2.2202496194284542,-2.201643669283935,-2.1823168381038265,0.041195005873200075,10
