,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_alpha,param_degree,param_kernel,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0,0.06613461176554362,1.4609610600112007e-05,0.025415579477945965,0.0001161085153077196,0.007415996930946248,4,rbf,"OrderedDict([('alpha', 0.007415996930946248), ('degree', 4), ('kernel', 'rbf')])",-2.1995625716407634,-2.2205783232805496,-2.285263370133795,-2.2351347550183696,0.036469841369631856,118
1,0.04327861467997233,0.00019110845033256911,0.0232241153717041,0.00015705288917724353,0.10844852766896036,4,rbf,"OrderedDict([('alpha', 0.10844852766896036), ('degree', 4), ('kernel', 'rbf')])",-2.1395314233741236,-2.131403193516708,-2.143545115060684,-2.1381599106505056,0.005050897613843978,112
2,0.04388507207234701,0.00012077092804071633,0.023441155751546223,0.00023147274993860848,0.0036543554356017745,4,rbf,"OrderedDict([('alpha', 0.0036543554356017745), ('degree', 4), ('kernel', 'rbf')])",-2.209126357671074,-2.233316485469252,-2.3009306421501567,-2.2477911617634945,0.038851373656937006,119
3,0.043725808461507164,0.00034133816208738453,0.02332894007364909,0.0002564750364290321,0.00034890466791556474,5,rbf,"OrderedDict([('alpha', 0.00034890466791556474), ('degree', 5), ('kernel', 'rbf')])",-2.219819124347373,-2.2461476660627717,-2.316449072524971,-2.2608052876450384,0.04078783416688537,122
4,0.04117298126220703,0.0028230999482394643,0.0231781800587972,0.00021888784880931176,0.002206381446402118,4,rbf,"OrderedDict([('alpha', 0.002206381446402118), ('degree', 4), ('kernel', 'rbf')])",-2.213555098770342,-2.238750433531354,-2.3075350781680637,-2.2532802034899198,0.03971896938227946,120
5,0.043500820795694985,0.0003528080149488194,0.02343916893005371,0.000209978424843837,0.001382895550024558,2,rbf,"OrderedDict([('alpha', 0.001382895550024558), ('degree', 2), ('kernel', 'rbf')])",-2.2162221176174737,-2.241982526048179,-2.3114282522388545,-2.256544298634836,0.040208506007520795,121
6,0.04294093449910482,0.00010123750606827906,0.0232388178507487,0.00017598525034124006,3.3240996512502616,2,rbf,"OrderedDict([('alpha', 3.3240996512502616), ('degree', 2), ('kernel', 'rbf')])",-2.2779078461061775,-2.36309152325053,-2.2641819814622806,-2.301727116939663,0.04375151510877115,127
7,0.04311227798461914,0.00048429384839043257,0.02324962615966797,0.00028174237326767147,0.1969137452682661,2,rbf,"OrderedDict([('alpha', 0.1969137452682661), ('degree', 2), ('kernel', 'rbf')])",-2.133344927078329,-2.1278399196769118,-2.117699450369589,-2.1262947657082765,0.006480013423392529,108
8,0.04300848642985026,0.00035161270283701,0.023295879364013672,0.00024225869696188152,0.015919950476852764,5,rbf,"OrderedDict([('alpha', 0.015919950476852764), ('degree', 5), ('kernel', 'rbf')])",-2.1836707800694675,-2.199234643504097,-2.257052954860121,-2.2133194594778955,0.03157026475460023,116
9,0.043828090031941734,0.0002738540418642105,0.02345720926920573,0.00016670401787102752,0.9664750089814659,6,rbf,"OrderedDict([('alpha', 0.9664750089814659), ('degree', 6), ('kernel', 'rbf')])",-2.1767213407205483,-2.194610586311104,-2.1242790609509488,-2.165203662660867,0.02984541892023397,115
10,0.04287242889404297,0.00031067194221724226,0.02321902910868327,0.0002484141083104525,0.2880219163836826,6,rbf,"OrderedDict([('alpha', 0.2880219163836826), ('degree', 6), ('kernel', 'rbf')])",-2.134042073077926,-2.13287255855789,-2.1081550769432216,-2.1250232361930124,0.011937141992129006,107
11,0.0434424082438151,0.000606269720530975,0.023432095845540363,0.0002217678437597627,0.39336450577943866,2,rbf,"OrderedDict([('alpha', 0.39336450577943866), ('degree', 2), ('kernel', 'rbf')])",-2.1360092678871583,-2.1417233417628485,-2.1063262593622953,-2.128019623004101,0.015515888193201911,110
12,0.04441293080647787,6.225733600088015e-05,0.023437897364298504,0.00020889207983066927,0.26694111185805924,2,rbf,"OrderedDict([('alpha', 0.26694111185805924), ('degree', 2), ('kernel', 'rbf')])",-2.1336438685432855,-2.1314462012815665,-2.109535720396738,-2.124875263407197,0.010883737721193373,12
13,0.04401151339213053,0.0003395065683815634,0.02341000239054362,0.00023715002285579234,0.2505854306724498,6,rbf,"OrderedDict([('alpha', 0.2505854306724498), ('degree', 6), ('kernel', 'rbf')])",-2.133306923288219,-2.1305001865233355,-2.110913231340777,-2.1249067803841104,0.00996105763922601,102
14,0.045064449310302734,0.0004059860284020736,0.023732741673787434,0.0001798361417989026,0.00010032031805861906,2,rbf,"OrderedDict([('alpha', 0.00010032031805861906), ('degree', 2), ('kernel', 'rbf')])",-2.220745097251881,-2.2471695643990546,-2.3176790359412642,-2.2618645658640664,0.04091458108874959,125
15,0.044342358907063804,0.0001930445002606675,0.023291269938151043,0.0002548635754898433,9.958940942385151,5,rbf,"OrderedDict([('alpha', 9.958940942385151), ('degree', 5), ('kernel', 'rbf')])",-2.4641526562850395,-2.613759415180528,-2.5023107958563506,-2.5267409557739726,0.06347267187277611,128
16,0.04404449462890625,0.0006372782783680664,0.02349066734313965,3.28919723241321e-05,0.2645935684779781,2,rbf,"OrderedDict([('alpha', 0.2645935684779781), ('degree', 2), ('kernel', 'rbf')])",-2.1335983907937126,-2.131310268702247,-2.109724018405418,-2.1248775593004594,0.010755811666865768,30
17,0.04315805435180664,0.0002699918211638306,0.023453632990519207,0.00012082849311991974,0.053592696636314476,2,rbf,"OrderedDict([('alpha', 0.053592696636314476), ('degree', 2), ('kernel', 'rbf')])",-2.1520536483114894,-2.1532321230550724,-2.1856305751252663,-2.1636387821639427,0.015557986564689897,114
