,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_alpha,param_degree,param_kernel,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0,0.06570839881896973,3.842461400574672e-05,0.025272607803344727,0.00027231333337956673,0.00046512269353757475,3,rbf,"OrderedDict([('alpha', 0.00046512269353757475), ('degree', 3), ('kernel', 'rbf')])",-2.008568031837971,-1.9988704213494979,-2.1555303363092917,-2.0543229298322534,0.07167386904887472,124
1,0.04386822382609049,0.00044361753132299633,0.023473739624023438,0.00029003095060247584,0.00019477479724156136,3,rbf,"OrderedDict([('alpha', 0.00019477479724156136), ('degree', 3), ('kernel', 'rbf')])",-2.0121545920294754,-2.0009204328853203,-2.158876009720217,-2.0573170115450043,0.07195935966772582,125
2,0.0445868174235026,0.0002519654900340596,0.02359159787495931,0.0003482070131900548,0.7797926353649971,4,rbf,"OrderedDict([('alpha', 0.7797926353649971), ('degree', 4), ('kernel', 'rbf')])",-1.9918841789802624,-1.9804756189078183,-2.084065539328754,-2.018808445738945,0.046378191775686015,119
3,0.043381452560424805,7.427877167446799e-05,0.02337368329366048,0.0002865456968716846,0.0009063701623072335,5,rbf,"OrderedDict([('alpha', 0.0009063701623072335), ('degree', 5), ('kernel', 'rbf')])",-2.0029412343578,-1.9956830076009493,-2.1503217407973545,-2.049648660918701,0.07124826184127223,122
4,0.04376681645711263,0.0002666856011480304,0.023342132568359375,0.0002463105098514935,0.1841896176692029,2,rbf,"OrderedDict([('alpha', 0.1841896176692029), ('degree', 2), ('kernel', 'rbf')])",-1.8901496311526125,-1.8922005986870576,-1.9947827575252877,-1.9257109957883192,0.04884828771508262,112
5,0.041216135025024414,0.0018756538067017643,0.02355019251505534,0.0005597922805949186,0.0010086052954795222,4,rbf,"OrderedDict([('alpha', 0.0010086052954795222), ('degree', 4), ('kernel', 'rbf')])",-2.0016658580388036,-1.9949568491842928,-2.1491484368216587,-2.0485903813482516,0.07115801472964739,121
6,0.04364530245463053,0.000256520541104643,0.02327251434326172,0.0001982005640586447,0.016945682119729723,5,rbf,"OrderedDict([('alpha', 0.016945682119729723), ('degree', 5), ('kernel', 'rbf')])",-1.9031557100518643,-1.9370259934614533,-2.0495556433985693,-1.9632457823039624,0.06257711571167869,116
7,0.0434725284576416,5.5878859093907405e-05,0.023201465606689453,0.00017342489434843744,0.14359651964868522,5,rbf,"OrderedDict([('alpha', 0.14359651964868522), ('degree', 5), ('kernel', 'rbf')])",-1.8819419553811811,-1.8898358344366466,-1.9880279070766635,-1.9199352322981638,0.04825652011561743,111
8,0.04315598805745443,0.0007763464770047178,0.023225148518880207,0.0003191739081423801,0.000839985734622411,6,rbf,"OrderedDict([('alpha', 0.000839985734622411), ('degree', 6), ('kernel', 'rbf')])",-2.0037752355632623,-1.9961569806604411,-2.1510888000159585,-2.050340338746554,0.07130777792104503,123
9,0.043313026428222656,7.372674535579663e-05,0.023298025131225586,0.00016659608040449331,0.0013248732368179598,6,rbf,"OrderedDict([('alpha', 0.0013248732368179598), ('degree', 6), ('kernel', 'rbf')])",-1.9979151819022385,-1.9927429883118821,-2.1456766216467367,-2.045444930620286,0.07090595560858749,120
10,0.043454488118489586,6.033335390368008e-05,0.023296356201171875,0.00018024959674586483,0.06838077025519262,2,rbf,"OrderedDict([('alpha', 0.06838077025519262), ('degree', 2), ('kernel', 'rbf')])",-1.8725682867121582,-1.8959642416901787,-1.9853936420913496,-1.9179753901645622,0.048619325355124796,110
11,0.043646653493245445,0.0003346396686550764,0.023428678512573242,0.00020561110995195105,9.989270944916065,4,rbf,"OrderedDict([('alpha', 9.989270944916065), ('degree', 4), ('kernel', 'rbf')])",-2.369067244079738,-2.5284127282920292,-2.4433167655496972,-2.4469322459738216,0.0651027373143675,128
12,0.04326772689819336,0.00035800664763878186,0.02338997522989909,0.0002144633393906299,0.09842654378113568,2,rbf,"OrderedDict([('alpha', 0.09842654378113568), ('degree', 2), ('kernel', 'rbf')])",-1.8749829311695982,-1.890901865345341,-1.9846974440751601,-1.9168607468633665,0.0484060342848309,108
13,0.043846686681111656,0.00017295635201687058,0.023324012756347656,0.0001735739654756151,0.07278658324828066,6,rbf,"OrderedDict([('alpha', 0.07278658324828066), ('degree', 6), ('kernel', 'rbf')])",-1.8726608812644867,-1.8949260349551045,-1.9847572102588311,-1.9174480421594742,0.048454978071658314,109
14,0.04363020261128744,0.000553749356008784,0.023332754770914715,0.00018994987734144612,0.041608768758921326,6,rbf,"OrderedDict([('alpha', 0.041608768758921326), ('degree', 6), ('kernel', 'rbf')])",-1.8740813898083641,-1.9067217899059663,-1.999181283271027,-1.9266614876617858,0.05298232092586779,113
15,0.04364927609761556,0.0005996844319133821,0.02336565653483073,0.0004560106844985717,0.0928451573889448,6,rbf,"OrderedDict([('alpha', 0.0928451573889448), ('degree', 6), ('kernel', 'rbf')])",-1.8743391214418628,-1.8914514177792623,-1.9844556809120046,-1.9167487400443768,0.04838305524819,88
16,0.04347332318623861,0.0007608934210108813,0.023366133371988933,0.00033952481770783245,0.09225111192566632,6,rbf,"OrderedDict([('alpha', 0.09225111192566632), ('degree', 6), ('kernel', 'rbf')])",-1.8742752918743943,-1.8915112762859494,-1.9844310628160864,-1.9167392103254768,0.04837981645181309,71
