,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_alpha,param_degree,param_kernel,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0,0.08194510142008464,2.0834322122209495e-05,0.038227240244547524,0.00033464504765613057,0.004342406671012691,2,rbf,"OrderedDict([('alpha', 0.004342406671012691), ('degree', 2), ('kernel', 'rbf')])",-2.2565476738462786,-2.236984664283099,-2.2552069170972406,-2.2495797517422056,0.008922876152225895,107
1,0.0589449405670166,0.00035363677692587606,0.03604706128438314,0.0003899988382208061,0.0034528330823491225,5,rbf,"OrderedDict([('alpha', 0.0034528330823491225), ('degree', 5), ('kernel', 'rbf')])",-2.256880949061091,-2.2372643055356747,-2.255555300075652,-2.2499001848908056,0.008951291214725076,109
2,0.05988613764444987,0.00019836476725325415,0.03595399856567383,0.0003111754316010807,0.0036892151638250087,6,rbf,"OrderedDict([('alpha', 0.0036892151638250087), ('degree', 6), ('kernel', 'rbf')])",-2.256789224616645,-2.2371895327258384,-2.255462246474048,-2.249813667938844,0.008943034911964187,108
3,0.05971916516621908,0.00035683657383275515,0.03580411275227865,0.00035478587666378723,3.040045559619459,5,rbf,"OrderedDict([('alpha', 3.040045559619459), ('degree', 5), ('kernel', 'rbf')])",-2.6419193200498294,-2.615387109047053,-2.6029399472580015,-2.6200821254516278,0.016255876067656192,127
4,0.05887691179911295,0.00041065939053170914,0.03573981920878092,0.0004206121052283388,0.007178591163401846,3,rbf,"OrderedDict([('alpha', 0.007178591163401846), ('degree', 3), ('kernel', 'rbf')])",-2.2556241868729203,-2.236155175670548,-2.2541281177245973,-2.248635826756022,0.008846262651995897,106
5,0.05937067667643229,0.0010339859528655255,0.03571184476216634,0.0003635594003835586,0.0003649012066045632,3,rbf,"OrderedDict([('alpha', 0.0003649012066045632), ('degree', 3), ('kernel', 'rbf')])",-2.258109726171897,-2.238369326905903,-2.256803798636404,-2.2510942839047345,0.009013684398312623,118
6,0.059165636698404946,0.000259767907371392,0.03580594062805176,0.00047319095024468395,0.40725481483569054,3,rbf,"OrderedDict([('alpha', 0.40725481483569054), ('degree', 3), ('kernel', 'rbf')])",-2.323679044878854,-2.297718257375612,-2.2997842113526943,-2.30706050453572,0.011781311579817934,125
7,0.05907257397969564,0.0003286017178574017,0.035678863525390625,0.00040884613198580866,5.952746342599021,3,rbf,"OrderedDict([('alpha', 5.952746342599021), ('degree', 3), ('kernel', 'rbf')])",-2.807661562630091,-2.800157435594648,-2.7658274537443943,-2.791215483989711,0.01821157215332886,128
8,0.058420419692993164,0.0004368307696060233,0.035628159840901695,0.0003886452149982827,0.8261150960305693,3,rbf,"OrderedDict([('alpha', 0.8261150960305693), ('degree', 3), ('kernel', 'rbf')])",-2.4076228045114836,-2.3811663735132567,-2.375725780037194,-2.3881716526873116,0.013932228699629998,126
9,0.05884178479512533,0.0005356205316753365,0.03615673383076986,0.0006201613366968856,0.0009327380668740239,5,rbf,"OrderedDict([('alpha', 0.0009327380668740239), ('degree', 5), ('kernel', 'rbf')])",-2.2578794353986287,-2.2381591752013685,-2.25656952283994,-2.2508693778133124,0.009003366242887582,114
10,0.0590674082438151,0.00011640058532797563,0.035854339599609375,0.0003861437493930531,0.06182566837200293,6,rbf,"OrderedDict([('alpha', 0.06182566837200293), ('degree', 6), ('kernel', 'rbf')])",-2.2542138565184606,-2.2344208192980393,-2.243525055024779,-2.2440532436137595,0.00808910040286283,80
11,0.06033492088317871,0.0001622144833462997,0.03619027137756348,0.0002544905868077705,0.0001,6,rbf,"OrderedDict([('alpha', 0.0001), ('degree', 6), ('kernel', 'rbf')])",-2.258217840755639,-2.238468147958882,-2.2569138334187926,-2.2511999407111047,0.00901846323929582,121
12,0.06001075108846029,0.0002629129163474885,0.03613861401875814,0.00030157090563726464,0.0001,2,rbf,"OrderedDict([('alpha', 0.0001), ('degree', 2), ('kernel', 'rbf')])",-2.258217840755639,-2.238468147958882,-2.2569138334187926,-2.2511999407111047,0.00901846323929582,121
13,0.05979299545288086,0.00011794179376398365,0.03619241714477539,0.0005143661160969959,0.028978417699145192,2,rbf,"OrderedDict([('alpha', 0.028978417699145192), ('degree', 2), ('kernel', 'rbf')])",-2.252466439608661,-2.2331934983753396,-2.2472552960110015,-2.2443050779983342,0.008140000232901965,88
14,0.05885235468546549,4.5168139549884396e-05,0.035869757334391274,0.0003481695734168742,0.08241450073842974,2,rbf,"OrderedDict([('alpha', 0.08241450073842974), ('degree', 2), ('kernel', 'rbf')])",-2.2564440888716812,-2.235998316407516,-2.243552454625948,-2.245331619968382,0.008441227197546218,98
15,0.05913551648457845,0.0003558067117073273,0.036194960276285805,0.0002766155146634774,0.12497593722583411,6,rbf,"OrderedDict([('alpha', 0.12497593722583411), ('degree', 6), ('kernel', 'rbf')])",-2.2630354748207524,-2.241438625996622,-2.2466580767501885,-2.250377392522521,0.009200759104328488,110
16,0.05988852183024088,0.00014836435677178332,0.03612581888834635,0.00042416178857552177,0.017124491432581802,6,rbf,"OrderedDict([('alpha', 0.017124491432581802), ('degree', 6), ('kernel', 'rbf')])",-2.253317547680125,-2.2340034077903006,-2.2506918355027716,-2.246004263657732,0.008553322834732263,102
17,0.06052978833516439,0.0007667420992186251,0.03608163197835287,0.0007165959923135796,0.04691377543136849,2,rbf,"OrderedDict([('alpha', 0.04691377543136849), ('degree', 2), ('kernel', 'rbf')])",-2.253011423641947,-2.2336274597154,-2.2442599190900503,-2.2436329341491326,0.007925879423909233,37
