,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_booster,param_colsample_bylevel,param_colsample_bynode,param_colsample_bytree,param_gamma,param_learning_rate,param_max_depth,param_n_estimators,param_reg_alpha,param_reg_lambda,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0,26.261348088582356,0.16191245549271951,0.07033499081929524,0.028949211712026423,gbtree,0.6252499434395378,0.3137406480493853,0.5422149317776486,0.4619641225670442,0.028930905426200415,3,2000,2,6,0.812428312198507,"OrderedDict([('booster', 'gbtree'), ('colsample_bylevel', 0.6252499434395378), ('colsample_bynode', 0.3137406480493853), ('colsample_bytree', 0.5422149317776486), ('gamma', 0.4619641225670442), ('learning_rate', 0.028930905426200415), ('max_depth', 3), ('n_estimators', 2000), ('reg_alpha', 2), ('reg_lambda', 6), ('subsample', 0.812428312198507)])",-17.573096780673318,-18.463626297683092,-17.939947394073986,-17.992223490810133,0.36543152380338023,24
1,77.52839652697246,3.5559071523192554,0.05459157625834147,0.0014105173645792804,gbtree,0.567905321265371,0.59665824432862,0.6078116716505555,0.9813895059278903,0.007335781274884163,4,2000,7,2,0.5453080345887557,"OrderedDict([('booster', 'gbtree'), ('colsample_bylevel', 0.567905321265371), ('colsample_bynode', 0.59665824432862), ('colsample_bytree', 0.6078116716505555), ('gamma', 0.9813895059278903), ('learning_rate', 0.007335781274884163), ('max_depth', 4), ('n_estimators', 2000), ('reg_alpha', 7), ('reg_lambda', 2), ('subsample', 0.5453080345887557)])",-17.240606414235156,-18.26083427034217,-17.950048769758048,-17.817163151445126,0.42697397286796773,6
2,50.7667605082194,3.324660309497628,0.058600425720214844,0.010177052961460481,gbtree,0.5019233563447018,0.23757906249842226,0.42028571281404825,0.4349724654784647,0.004393814995185428,4,2000,5,15,0.8529691569802544,"OrderedDict([('booster', 'gbtree'), ('colsample_bylevel', 0.5019233563447018), ('colsample_bynode', 0.23757906249842226), ('colsample_bytree', 0.42028571281404825), ('gamma', 0.4349724654784647), ('learning_rate', 0.004393814995185428), ('max_depth', 4), ('n_estimators', 2000), ('reg_alpha', 5), ('reg_lambda', 15), ('subsample', 0.8529691569802544)])",-17.51629812821098,-18.378438793670902,-17.664626546244804,-17.85312115604223,0.37635913274595567,13
3,13.297278245290121,0.030796002895650366,0.0667109489440918,0.02783606253909953,gbtree,0.7237525003112129,0.3959692118189694,0.3171151458138969,0.16603055837116715,0.01936911983409087,2,2000,9,6,0.4943286314542099,"OrderedDict([('booster', 'gbtree'), ('colsample_bylevel', 0.7237525003112129), ('colsample_bynode', 0.3959692118189694), ('colsample_bytree', 0.3171151458138969), ('gamma', 0.16603055837116715), ('learning_rate', 0.01936911983409087), ('max_depth', 2), ('n_estimators', 2000), ('reg_alpha', 9), ('reg_lambda', 6), ('subsample', 0.4943286314542099)])",-17.384570263002228,-18.7875837487161,-18.187987856526192,-18.12004728941484,0.5747890342078013,28
4,14.075923204421997,0.04043615546873856,0.04737385114034017,0.0010658835177078324,gbtree,0.7489968869679917,0.7313001487536308,0.21601084514825783,0.8340498945012487,0.022963619105932035,2,2000,9,4,0.7426958428654276,"OrderedDict([('booster', 'gbtree'), ('colsample_bylevel', 0.7489968869679917), ('colsample_bynode', 0.7313001487536308), ('colsample_bytree', 0.21601084514825783), ('gamma', 0.8340498945012487), ('learning_rate', 0.022963619105932035), ('max_depth', 2), ('n_estimators', 2000), ('reg_alpha', 9), ('reg_lambda', 4), ('subsample', 0.7426958428654276)])",-17.644345840682153,-18.3948173860763,-17.836715964020275,-17.958626396926245,0.31827503865897794,23
5,16.371120770772297,0.07696251627336327,0.07292644182840984,0.03592176323600322,gbtree,0.3159246764580395,0.44774392295817245,0.21435781119533684,0.6405724776894599,0.045830251851072694,3,2000,1,10,0.8624412294877615,"OrderedDict([('booster', 'gbtree'), ('colsample_bylevel', 0.3159246764580395), ('colsample_bynode', 0.44774392295817245), ('colsample_bytree', 0.21435781119533684), ('gamma', 0.6405724776894599), ('learning_rate', 0.045830251851072694), ('max_depth', 3), ('n_estimators', 2000), ('reg_alpha', 1), ('reg_lambda', 10), ('subsample', 0.8624412294877615)])",-17.777919187493946,-18.481688107066972,-18.30240186576635,-18.18733638677576,0.29861091895725783,29
6,11.956850528717041,0.040733193919919794,0.09491380055745442,0.027541748857268414,gbtree,0.47403716227724485,0.25182087557179783,0.40133597295456236,0.3571710868654622,0.03280492908550501,2,2000,1,6,0.6485741870733949,"OrderedDict([('booster', 'gbtree'), ('colsample_bylevel', 0.47403716227724485), ('colsample_bynode', 0.25182087557179783), ('colsample_bytree', 0.40133597295456236), ('gamma', 0.3571710868654622), ('learning_rate', 0.03280492908550501), ('max_depth', 2), ('n_estimators', 2000), ('reg_alpha', 1), ('reg_lambda', 6), ('subsample', 0.6485741870733949)])",-17.671557142682698,-18.40682739392938,-17.89922309573231,-17.99253587744813,0.30733916337465333,25
7,61.06932393709818,0.07317179929248034,0.08829124768575032,0.042195269306040555,gbtree,0.46690861376204523,0.6822430953799141,0.44994234059678107,0.6809675201961244,0.00612489664706755,4,2000,2,1,0.5130190346182334,"OrderedDict([('booster', 'gbtree'), ('colsample_bylevel', 0.46690861376204523), ('colsample_bynode', 0.6822430953799141), ('colsample_bytree', 0.44994234059678107), ('gamma', 0.6809675201961244), ('learning_rate', 0.00612489664706755), ('max_depth', 4), ('n_estimators', 2000), ('reg_alpha', 2), ('reg_lambda', 1), ('subsample', 0.5130190346182334)])",-17.34919033102367,-18.134519457492257,-17.932603142952008,-17.805437643822643,0.33298023699772633,5
8,13.80150286356608,0.06769522844594583,0.047772487004597984,0.0015819919273347546,gbtree,0.6408755880472141,0.2220832469879667,0.5936583435420941,0.31289698457219584,0.04943061157122576,2,2000,7,10,0.6038462984285609,"OrderedDict([('booster', 'gbtree'), ('colsample_bylevel', 0.6408755880472141), ('colsample_bynode', 0.2220832469879667), ('colsample_bytree', 0.5936583435420941), ('gamma', 0.31289698457219584), ('learning_rate', 0.04943061157122576), ('max_depth', 2), ('n_estimators', 2000), ('reg_alpha', 7), ('reg_lambda', 10), ('subsample', 0.6038462984285609)])",-17.4776530434256,-18.598591422514954,-18.11890063259771,-18.065048366179422,0.4592027601380869,27
9,33.501505057017006,0.3210199171143331,0.06943599383036296,0.03085704090480543,gbtree,0.631696543111576,0.725431581451065,0.5575988191953386,0.5588828853420418,0.039180256498043416,3,2000,10,6,0.5855827499101078,"OrderedDict([('booster', 'gbtree'), ('colsample_bylevel', 0.631696543111576), ('colsample_bynode', 0.725431581451065), ('colsample_bytree', 0.5575988191953386), ('gamma', 0.5588828853420418), ('learning_rate', 0.039180256498043416), ('max_depth', 3), ('n_estimators', 2000), ('reg_alpha', 10), ('reg_lambda', 6), ('subsample', 0.5855827499101078)])",-17.387567491635032,-18.379491169381208,-17.75900622664905,-17.84202162922176,0.4091835883126358,11
