,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_degree,param_epsilon,param_kernel,param_shrinking,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0,4.576665004094441,0.057602058059888904,2.5542295773824057,0.05999659507875382,89.82041905779514,9,0.5126724400811684,rbf,True,"OrderedDict([('C', 89.82041905779514), ('degree', 9), ('epsilon', 0.5126724400811684), ('kernel', 'rbf'), ('shrinking', True)])",-2.961277069024572,-8.6696666469776,-12.744731967478383,-8.125225227826851,4.012589337047848,434
1,4.75028133392334,0.10030447234060809,2.8324206670125327,0.12043070889689178,88.77912269691507,5,0.13368252523814875,rbf,False,"OrderedDict([('C', 88.77912269691507), ('degree', 5), ('epsilon', 0.13368252523814875), ('kernel', 'rbf'), ('shrinking', False)])",-6.507538405406709,-13.127681308649878,-11.462661557155107,-10.365960423737233,2.811718104276015,476
2,4.563642581303914,0.10600311220956428,2.655975580215454,0.055752496510624486,93.98914190249313,9,0.32841343488963043,rbf,True,"OrderedDict([('C', 93.98914190249313), ('degree', 9), ('epsilon', 0.32841343488963043), ('kernel', 'rbf'), ('shrinking', True)])",-14.79224518312023,-10.138715435662895,-16.63607466827062,-13.855678429017914,2.7339577188946578,494
3,4.567667007446289,0.07175670440950174,2.5054899056752524,0.05207254134352666,77.41740883634824,6,0.7436342512960543,rbf,False,"OrderedDict([('C', 77.41740883634824), ('degree', 6), ('epsilon', 0.7436342512960543), ('kernel', 'rbf'), ('shrinking', False)])",-3.0799806605756017,-10.551673475970102,-13.510049479781083,-9.047234538775596,4.388932009813686,459
4,4.577091693878174,0.09144205501358231,2.5707361698150635,0.023187526143153336,69.58985206354117,8,0.6144873849081932,rbf,False,"OrderedDict([('C', 69.58985206354117), ('degree', 8), ('epsilon', 0.6144873849081932), ('kernel', 'rbf'), ('shrinking', False)])",-10.669261388857668,-11.849383875363888,-7.148994002076815,-9.889213088766123,1.9966259461203872,468
5,4.6195158163706465,0.08650227598407201,2.77262552579244,0.08332802432988334,23.122447955098046,7,0.1184572642756561,rbf,True,"OrderedDict([('C', 23.122447955098046), ('degree', 7), ('epsilon', 0.1184572642756561), ('kernel', 'rbf'), ('shrinking', True)])",-8.004187484332016,-9.367706922047425,-9.275842104214961,-8.8825788368648,0.6222477064868026,452
6,4.63919997215271,0.05887743217786151,2.5683608055114746,0.047432150941574214,34.31864610922278,6,0.7376812042662662,rbf,True,"OrderedDict([('C', 34.31864610922278), ('degree', 6), ('epsilon', 0.7376812042662662), ('kernel', 'rbf'), ('shrinking', True)])",-7.5441810536474545,-9.225552582686475,-9.015871019414067,-8.595201551916,0.7480974336406477,447
7,4.569677193959554,0.01787507075673147,2.689318895339966,0.018159057712463084,91.4130563732228,6,0.09347961059620186,rbf,True,"OrderedDict([('C', 91.4130563732228), ('degree', 6), ('epsilon', 0.09347961059620186), ('kernel', 'rbf'), ('shrinking', True)])",-13.189776146552356,-9.925756828249996,-7.389934045930926,-10.168489006911093,2.3739883853904837,473
8,4.710172414779663,0.04192450872333782,2.6654253800710044,0.068786480281085,91.27975384165205,8,0.1296192535338522,rbf,False,"OrderedDict([('C', 91.27975384165205), ('degree', 8), ('epsilon', 0.1296192535338522), ('kernel', 'rbf'), ('shrinking', False)])",-12.597471165325816,-4.264744630549258,-9.560551498155489,-8.807589098010189,3.4432346379401997,449
9,4.66799012819926,0.07178184829170058,2.7231923739115396,0.04578657636292909,35.34433256716551,5,0.0020073953971631556,rbf,False,"OrderedDict([('C', 35.34433256716551), ('degree', 5), ('epsilon', 0.0020073953971631556), ('kernel', 'rbf'), ('shrinking', False)])",-11.771577999117612,-18.179578318290936,-13.780967852403704,-14.57737472327075,2.6759814337428347,496
10,4.6359899044036865,0.08668197090234137,2.742058277130127,0.08646795956729582,87.03855264117172,8,0.020453262504303356,rbf,True,"OrderedDict([('C', 87.03855264117172), ('degree', 8), ('epsilon', 0.020453262504303356), ('kernel', 'rbf'), ('shrinking', True)])",-2.7426961767935705,-16.571602873561233,-10.855656014973892,-10.0566516884429,5.67382710595108,472
11,4.586068709691365,0.05423251178227434,2.557199001312256,0.06188362764047193,89.70779587055516,9,0.5421643566029106,rbf,True,"OrderedDict([('C', 89.70779587055516), ('degree', 9), ('epsilon', 0.5421643566029106), ('kernel', 'rbf'), ('shrinking', True)])",-5.721176183441383,-10.652667685491132,-8.717576726168627,-8.363806865033714,2.028754452808058,441
12,4.516507069269816,0.09133372339755293,2.6869956652323403,0.06160290798692795,89.85554976111875,9,0.49574015012608696,rbf,True,"OrderedDict([('C', 89.85554976111875), ('degree', 9), ('epsilon', 0.49574015012608696), ('kernel', 'rbf'), ('shrinking', True)])",-12.007845007531616,-5.892900976353783,-6.435083890915288,-8.111943291600229,2.763696584089077,433
13,4.594149033228557,0.040625941000310445,2.6345627307891846,0.0639429954480754,89.91865795870174,9,0.4831344161742804,rbf,True,"OrderedDict([('C', 89.91865795870174), ('degree', 9), ('epsilon', 0.4831344161742804), ('kernel', 'rbf'), ('shrinking', True)])",-17.09119833333578,-16.527755301970423,-16.872464242338204,-16.830472625881466,0.23193315745135504,500
14,4.515756845474243,0.1453120721577334,2.570824225743612,0.04202693283157132,89.92402373579287,9,0.515105077017163,rbf,True,"OrderedDict([('C', 89.92402373579287), ('degree', 9), ('epsilon', 0.515105077017163), ('kernel', 'rbf'), ('shrinking', True)])",-9.01364086253268,-9.906507439604955,-8.288138956299155,-9.069429086145597,0.6618727880591515,460
