,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_degree,param_epsilon,param_gamma,param_kernel,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0,0.11338265736897786,0.004892955454685694,0.0363763173421224,0.0012894157044348827,10.5,5,3.3336666666666663,5.0,sigmoid,"OrderedDict([('C', 10.5), ('degree', 5), ('epsilon', 3.3336666666666663), ('gamma', 5.0), ('kernel', 'sigmoid')])",-2.6656199211956517,-2.998611152588556,-2.8354904863387973,-2.833240520041002,0.1359524103191912,44
1,0.17711472511291504,0.016947590676635677,0.039230744043986,0.004545519761123302,5.071428571428571,9,2.2227777777777775,1.0722142857142856,poly,"OrderedDict([('C', 5.071428571428571), ('degree', 9), ('epsilon', 2.2227777777777775), ('gamma', 1.0722142857142856), ('kernel', 'poly')])",-2.268131018266229,-2.1616564087802455,-2.227852482012812,-2.219213303019762,0.04389523266865952,17
2,0.11399277051289876,0.004208629073257562,0.07105859120686848,0.008560678573107968,9.142857142857142,3,3.8891111111111107,3.2146428571428567,rbf,"OrderedDict([('C', 9.142857142857142), ('degree', 3), ('epsilon', 3.8891111111111107), ('gamma', 3.2146428571428567), ('kernel', 'rbf')])",-2.9000110145741917,-3.1472165001621604,-3.0792764339821077,-3.0421679829061534,0.10427660614007413,49
3,0.22208412488301596,0.009398653089412345,0.17083279291788736,0.012105415612275874,13.214285714285715,6,1.6673333333333331,4.6429285714285715,rbf,"OrderedDict([('C', 13.214285714285715), ('degree', 6), ('epsilon', 1.6673333333333331), ('gamma', 4.6429285714285715), ('kernel', 'rbf')])",-2.719664665664845,-3.0282605842130974,-2.904630441519811,-2.8841852304659183,0.1268105285519532,45
4,0.0906219482421875,0.0161003402509186,0.017295678456624348,0.0013402088117640285,14.571428571428573,6,4.444555555555556,4.6429285714285715,poly,"OrderedDict([('C', 14.571428571428573), ('degree', 6), ('epsilon', 4.444555555555556), ('gamma', 4.6429285714285715), ('kernel', 'poly')])",-2.4228124509064246,-2.3349106413942806,-2.381377579819195,-2.3797002240399667,0.0359053586593505,37
5,0.27587731679280597,0.01096944512788102,0.24406536420186362,0.01848075739738102,15.928571428571429,8,0.5564444444444444,2.1434285714285712,rbf,"OrderedDict([('C', 15.928571428571429), ('degree', 8), ('epsilon', 0.5564444444444444), ('gamma', 2.1434285714285712), ('kernel', 'rbf')])",-2.5449412973551238,-2.860725362570899,-2.6746725706182737,-2.693446410181432,0.12959999164096594,41
6,0.10323238372802734,0.012921985027965923,0.07608238855997722,0.0036249416806579822,2.357142857142857,6,3.8891111111111107,2.5004999999999997,rbf,"OrderedDict([('C', 2.357142857142857), ('degree', 6), ('epsilon', 3.8891111111111107), ('gamma', 2.5004999999999997), ('kernel', 'rbf')])",-2.8268127955602464,-3.080049416372982,-2.999871601996918,-2.9689112713100485,0.1056759294173892,46
7,0.17796635627746582,0.01739048479239845,0.03288618723551432,0.0019212370154539722,17.285714285714285,4,2.778222222222222,3.571714285714285,poly,"OrderedDict([('C', 17.285714285714285), ('degree', 4), ('epsilon', 2.778222222222222), ('gamma', 3.571714285714285), ('kernel', 'poly')])",-2.3167936159346425,-2.148916032708784,-2.2805039889343752,-2.2487378791926003,0.07212274275397287,30
8,0.12149826685587566,0.0034902838715139993,0.08039093017578125,0.006027448512589377,11.857142857142858,4,3.8891111111111107,2.1434285714285712,rbf,"OrderedDict([('C', 11.857142857142858), ('degree', 4), ('epsilon', 3.8891111111111107), ('gamma', 2.1434285714285712), ('kernel', 'rbf')])",-2.8687001993749957,-3.1109322287551695,-3.036213094896197,-3.0052818410087876,0.10128061961597885,48
9,0.177719513575236,0.03459553706401126,0.10181172688802083,0.011825996958328226,9.142857142857142,6,3.3336666666666663,3.9287857142857137,rbf,"OrderedDict([('C', 9.142857142857142), ('degree', 6), ('epsilon', 3.3336666666666663), ('gamma', 3.9287857142857137), ('kernel', 'rbf')])",-2.8434438064281182,-3.105099458316953,-3.029693631540416,-2.9927456320951626,0.10996904424608954,47
10,0.1130678653717041,0.012204175747981959,0.021993239720662434,0.0013905453764790636,5.071428571428571,9,3.3336666666666663,3.571714285714285,poly,"OrderedDict([('C', 5.071428571428571), ('degree', 9), ('epsilon', 3.3336666666666663), ('gamma', 3.571714285714285), ('kernel', 'poly')])",-2.296836199409853,-2.1552890986856728,-2.1912239208221833,-2.2144497396392366,0.060074811280864546,5
11,0.1120768388112386,0.0071555809023614025,0.023330529530843098,0.0007227634047435845,5.071428571428571,4,3.3336666666666663,3.571714285714285,poly,"OrderedDict([('C', 5.071428571428571), ('degree', 4), ('epsilon', 3.3336666666666663), ('gamma', 3.571714285714285), ('kernel', 'poly')])",-2.3064546765404894,-2.137929299818992,-2.2406247303620854,-2.2283362355738556,0.06934674218688246,26
12,0.12939047813415527,0.017755037042181464,0.028371413548787434,0.0033819094553817915,9.142857142857142,9,3.3336666666666663,1.0722142857142856,poly,"OrderedDict([('C', 9.142857142857142), ('degree', 9), ('epsilon', 3.3336666666666663), ('gamma', 1.0722142857142856), ('kernel', 'poly')])",-2.2968422195730853,-2.1552940343380707,-2.191232689418394,-2.2144563144431832,0.060074813109990986,12
13,0.09519918759663899,0.014467687441573514,0.01797660191853841,0.00048316905303425096,5.071428571428571,9,3.8891111111111107,1.0722142857142856,poly,"OrderedDict([('C', 5.071428571428571), ('degree', 9), ('epsilon', 3.8891111111111107), ('gamma', 1.0722142857142856), ('kernel', 'poly')])",-2.322730603975769,-2.2063166115390427,-2.230973564295635,-2.2533402599368153,0.05008829679804413,31
