,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_epsilon,param_kernel,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0,4.602661609649658,0.08311503353033918,2.6366144816080728,0.03381961278062113,63.99979293280299,0.45624460780405274,rbf,"OrderedDict([('C', 63.99979293280299), ('epsilon', 0.45624460780405274), ('kernel', 'rbf')])",-14.195294502895065,-4.87179449671241,-10.340824624443426,-9.802637874683633,3.8252796694738325,189
1,4.715057293574016,0.03793132273423073,2.69059419631958,0.059711856884195925,38.27520777332384,0.18300945555293105,rbf,"OrderedDict([('C', 38.27520777332384), ('epsilon', 0.18300945555293105), ('kernel', 'rbf')])",-11.027973192937928,-6.004640059570612,-12.15713414447139,-9.72991579899331,2.674199022095587,188
2,4.652949094772339,0.11721314883828585,2.6248640219370523,0.07188478596981292,31.871705083592712,0.5569523338288654,rbf,"OrderedDict([('C', 31.871705083592712), ('epsilon', 0.5569523338288654), ('kernel', 'rbf')])",-8.07665304260503,-4.187607649308535,-10.859229998682691,-7.707830230198752,2.736135826718725,152
3,4.489831606547038,0.10528140924816803,2.5564136505126953,0.054818862774100384,69.0556766371082,0.7970906367710188,rbf,"OrderedDict([('C', 69.0556766371082), ('epsilon', 0.7970906367710188), ('kernel', 'rbf')])",-6.6801302194016055,-5.699850473037097,-7.494247332153888,-6.624742674864197,0.7336056420491252,126
4,4.625743309656779,0.07405206815339913,2.725741147994995,0.15473479518817704,58.835529778277504,0.4085522457044098,rbf,"OrderedDict([('C', 58.835529778277504), ('epsilon', 0.4085522457044098), ('kernel', 'rbf')])",-11.411021713736737,-2.7770026961301117,-9.446590377781146,-7.878204929215998,3.695172146242661,160
5,4.645049571990967,0.03529646018812313,2.537231922149658,0.012962443471920498,55.5550427599913,0.5705719708781513,rbf,"OrderedDict([('C', 55.5550427599913), ('epsilon', 0.5705719708781513), ('kernel', 'rbf')])",-3.9288976804290976,-6.474787268161019,-9.378732254439996,-6.594139067676704,2.226485700239559,121
6,4.540301243464152,0.058550864696848795,2.7783893744150796,0.10191149254627324,18.91300484796736,0.5018077988400519,rbf,"OrderedDict([('C', 18.91300484796736), ('epsilon', 0.5018077988400519), ('kernel', 'rbf')])",-7.42029696360598,-6.418542805414332,-7.134924194453263,-6.991254654491192,0.42139336405014677,133
7,4.59192689259847,0.11883143134493264,2.6452647050221763,0.10454886003813685,93.96201557913356,0.35418912136841946,rbf,"OrderedDict([('C', 93.96201557913356), ('epsilon', 0.35418912136841946), ('kernel', 'rbf')])",-7.290128325250982,-9.392025710848841,-12.39368482812533,-9.691946288075052,2.0942837294232666,187
8,4.531400918960571,0.06059655638158864,2.7085466384887695,0.010129675493228152,91.48569201218389,0.30932377148936396,rbf,"OrderedDict([('C', 91.48569201218389), ('epsilon', 0.30932377148936396), ('kernel', 'rbf')])",-6.388948607864864,-7.12450884955454,-14.777684110328495,-9.430380522582633,3.7930202532132156,181
9,4.704618771870931,0.081804461299758,2.7292299270629883,0.1269251492224252,19.989664554620738,0.2765914355345883,rbf,"OrderedDict([('C', 19.989664554620738), ('epsilon', 0.2765914355345883), ('kernel', 'rbf')])",-8.46529269330595,-11.332988631775018,-9.238914684009538,-9.679065336363502,1.2113957367306285,186
10,4.665244817733765,0.09146455564230453,2.657373825709025,0.06187628464606328,15.0,0.7854735616058784,rbf,"OrderedDict([('C', 15.0), ('epsilon', 0.7854735616058784), ('kernel', 'rbf')])",-5.018761317064146,-5.0924339854065614,-5.441916386441623,-5.184370562970777,0.18457934862027947,76
11,4.6378960609436035,0.09605796744683097,2.712165911992391,0.16678211033479992,15.0,0.9955137449695449,rbf,"OrderedDict([('C', 15.0), ('epsilon', 0.9955137449695449), ('kernel', 'rbf')])",-2.756636629131971,-3.144983035428342,-6.131575163348448,-4.011064942636254,1.5077855572393766,51
12,4.549070040384929,0.08207340005398167,2.6996739705403647,0.08901600092027713,15.0,1.0,rbf,"OrderedDict([('C', 15.0), ('epsilon', 1.0), ('kernel', 'rbf')])",-2.7760113104445816,-2.5901614252657135,-4.242618928364152,-3.2029305546914824,0.7390755399902593,1
13,4.62133002281189,0.07507903302408943,2.587233225504557,0.06897758927365252,15.0,1.0,rbf,"OrderedDict([('C', 15.0), ('epsilon', 1.0), ('kernel', 'rbf')])",-2.7760113104445816,-2.5901614252657135,-4.242618928364152,-3.2029305546914824,0.7390755399902593,1
14,4.607969681421916,0.1047793285954029,2.673337936401367,0.02977894988108795,15.0,1.0,rbf,"OrderedDict([('C', 15.0), ('epsilon', 1.0), ('kernel', 'rbf')])",-2.7760113104445816,-2.5901614252657135,-4.242618928364152,-3.2029305546914824,0.7390755399902593,1
15,4.576706171035767,0.11456287841258858,2.680985371271769,0.043717160072996294,15.0,0.7543796660213157,rbf,"OrderedDict([('C', 15.0), ('epsilon', 0.7543796660213157), ('kernel', 'rbf')])",-5.435694189310935,-3.5970159711024268,-7.319144702871354,-5.450618287761571,1.5195893349851386,85
16,4.351214647293091,0.11467663200679486,2.4821510314941406,0.04867074613197531,100.0,1.0,rbf,"OrderedDict([('C', 100.0), ('epsilon', 1.0), ('kernel', 'rbf')])",-7.652396866014384,-2.611481883807557,-4.271510475765159,-4.845129741862366,2.097535897394486,64
17,4.4889562129974365,0.08849919509105236,2.7633636792500815,0.30097346670179964,100.0,0.6157312139861876,rbf,"OrderedDict([('C', 100.0), ('epsilon', 0.6157312139861876), ('kernel', 'rbf')])",-4.718187858403255,-4.526250083396672,-12.25981528055779,-7.1680844074525725,3.6012500135803065,136
