,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_degree,param_epsilon,param_kernel,param_shrinking,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0,5.588064273198445,0.04312764735997947,2.693760315577189,0.01838838880271135,2.216729302730122,4,0.8852683648952224,sigmoid,False,"OrderedDict([('C', 2.216729302730122), ('degree', 4), ('epsilon', 0.8852683648952224), ('kernel', 'sigmoid'), ('shrinking', False)])",-3.00224545407313,-2.4600079060077453,-2.4090347987510223,-2.623762719610633,0.2684355287345652,40
1,6.756816625595093,0.6345220947874051,4.722918113072713,0.2670668276042827,3.9586274954193468,6,0.5374990356225405,rbf,False,"OrderedDict([('C', 3.9586274954193468), ('degree', 6), ('epsilon', 0.5374990356225405), ('kernel', 'rbf'), ('shrinking', False)])",-1.7398899342662082,-1.733715756182238,-1.8747043016559726,-1.7827699973681395,0.06505621849559062,37
2,6.549434105555217,0.30854547460005677,3.159876505533854,0.15161165180678177,19.094357503789265,5,0.7937910453276138,sigmoid,True,"OrderedDict([('C', 19.094357503789265), ('degree', 5), ('epsilon', 0.7937910453276138), ('kernel', 'sigmoid'), ('shrinking', True)])",-16.84198851197342,-9.78897399832369,-7.673688907340667,-11.43488380587926,3.9197103405764544,50
3,4.827213287353516,0.1048630000937077,3.810204346974691,0.14928888827340242,8.208961211939325,3,0.9413094240613235,rbf,False,"OrderedDict([('C', 8.208961211939325), ('degree', 3), ('epsilon', 0.9413094240613235), ('kernel', 'rbf'), ('shrinking', False)])",-1.7467843288311504,-1.7078512219474302,-1.853579138582877,-1.7694048964538194,0.06160586542100102,33
4,8.029307842254639,0.7217414042412631,3.9223685264587402,0.3521753421679181,7.0504506193152325,5,0.05335206933558778,sigmoid,True,"OrderedDict([('C', 7.0504506193152325), ('degree', 5), ('epsilon', 0.05335206933558778), ('kernel', 'sigmoid'), ('shrinking', True)])",-6.732744913632169,-4.000504517130012,-3.6136830681335566,-4.782310832965247,1.3881768704842572,45
5,6.587786674499512,0.24299331450487863,3.186549186706543,0.10229349017008957,10.971962060733745,2,0.5152549303273147,sigmoid,False,"OrderedDict([('C', 10.971962060733745), ('degree', 2), ('epsilon', 0.5152549303273147), ('kernel', 'sigmoid'), ('shrinking', False)])",-9.917341600006838,-5.4945848286523455,-4.7732821674514865,-6.7284028653702235,2.2740664124299723,47
6,6.7927835782368975,0.15918065206281312,3.315316915512085,0.08611928025209457,6.3845005701265585,2,0.2694857916369768,poly,True,"OrderedDict([('C', 6.3845005701265585), ('degree', 2), ('epsilon', 0.2694857916369768), ('kernel', 'poly'), ('shrinking', True)])",-2.7749468084026647,-2.649448495960941,-2.5908052482286963,-2.671733517530767,0.07680926673955225,43
7,6.826751073201497,0.5095445240820208,3.2899414698282876,0.23613055936382346,11.60119401380994,3,0.7692076112644789,poly,True,"OrderedDict([('C', 11.60119401380994), ('degree', 3), ('epsilon', 0.7692076112644789), ('kernel', 'poly'), ('shrinking', True)])",-3.600045069442046,-2.6293700914167646,-2.5099479748789855,-2.9131210452459317,0.4881692819387747,44
8,7.097735404968262,0.18032775760703268,3.451834281285604,0.0720703962700227,15.143327291383216,3,0.2008153336505333,sigmoid,True,"OrderedDict([('C', 15.143327291383216), ('degree', 3), ('epsilon', 0.2008153336505333), ('kernel', 'sigmoid'), ('shrinking', True)])",-13.600719389477545,-8.044640694602286,-6.272690465557411,-9.30601684987908,3.121784140656127,49
9,7.508232990900676,0.605855701316002,3.596663316090902,0.25811998284365706,11.521338340124178,3,0.6226240826461127,sigmoid,True,"OrderedDict([('C', 11.521338340124178), ('degree', 3), ('epsilon', 0.6226240826461127), ('kernel', 'sigmoid'), ('shrinking', True)])",-10.338029778825572,-5.7194001155186225,-4.948205501139646,-7.001878465161281,2.3799319981965548,48
10,7.244647900263469,0.12428590083591368,5.728961785634358,0.15759815695492163,20.0,6,0.001,rbf,True,"OrderedDict([('C', 20.0), ('degree', 6), ('epsilon', 0.001), ('kernel', 'rbf'), ('shrinking', True)])",-1.717737956241093,-1.6867988937968523,-1.8013450820189991,-1.7352939773523148,0.04838297026157805,26
11,7.2942713896433515,0.16661077889338105,5.762941201527913,0.16153408296490745,17.32848129090962,6,0.001,rbf,True,"OrderedDict([('C', 17.32848129090962), ('degree', 6), ('epsilon', 0.001), ('kernel', 'rbf'), ('shrinking', True)])",-1.711617425413427,-1.6842575736791443,-1.8003209290049,-1.7320653093658238,0.049539631144947444,20
12,4.696215947469075,0.07489373393609548,3.6269152959187827,0.10768197122133746,18.316839955749085,6,1.0,rbf,False,"OrderedDict([('C', 18.316839955749085), ('degree', 6), ('epsilon', 1.0), ('kernel', 'rbf'), ('shrinking', False)])",-1.7635605926729974,-1.7082501831453045,-1.843040160177626,-1.7716169786653093,0.05532186724696533,34
13,7.683389981587728,0.03663905761350843,5.806946039199829,0.16407786619203713,13.715112686435068,6,0.001,rbf,True,"OrderedDict([('C', 13.715112686435068), ('degree', 6), ('epsilon', 0.001), ('kernel', 'rbf'), ('shrinking', True)])",-1.7054398565233273,-1.6825716229250622,-1.8030694650326196,-1.730360314827003,0.05225389567418799,13
14,7.935388882954915,0.24871415313797127,5.838848272959392,0.18230810998336808,14.514791742078488,2,0.001,rbf,True,"OrderedDict([('C', 14.514791742078488), ('degree', 2), ('epsilon', 0.001), ('kernel', 'rbf'), ('shrinking', True)])",-1.706469510058696,-1.682107891232496,-1.8020112455132318,-1.7301962156014745,0.05174566654241492,5
