,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_degree,param_epsilon,param_gamma,param_kernel,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0,0.25714898109436035,0.05807715089651809,0.11449662844340007,0.006489123171816046,7.7857142857142865,3,3.8891111111111107,1.7863571428571425,rbf,"OrderedDict([('C', 7.7857142857142865), ('degree', 3), ('epsilon', 3.8891111111111107), ('gamma', 1.7863571428571425), ('kernel', 'rbf')])",-3.0947259349110054,-3.007325673084842,-3.037957323319359,-3.0466696437717355,0.03620892926308978,48
1,0.5615759690602621,0.04363495565663532,0.41740576426188153,0.05794187011035638,17.285714285714285,6,0.001,3.2146428571428567,rbf,"OrderedDict([('C', 17.285714285714285), ('degree', 6), ('epsilon', 0.001), ('gamma', 3.2146428571428567), ('kernel', 'rbf')])",-2.8549591084642763,-2.7779952899512623,-2.842692881577384,-2.8252157599976413,0.033763339823551015,44
2,0.17350665728251138,0.01992432193069564,0.10848220189412434,0.0047533020089682385,1.0,3,3.8891111111111107,2.857571428571428,rbf,"OrderedDict([('C', 1.0), ('degree', 3), ('epsilon', 3.8891111111111107), ('gamma', 2.857571428571428), ('kernel', 'rbf')])",-2.943870164107268,-2.867271755328146,-2.923248628576131,-2.9114635160038485,0.0323624856444352,47
3,0.11622436841328938,0.013916393914283249,0.025261561075846355,0.002363482199475197,3.7142857142857144,3,4.444555555555556,1.429285714285714,poly,"OrderedDict([('C', 3.7142857142857144), ('degree', 3), ('epsilon', 4.444555555555556), ('gamma', 1.429285714285714), ('kernel', 'poly')])",-2.215156537348041,-2.2681779594144187,-2.3668237643199124,-2.2833860870274574,0.06284479449912105,36
4,0.1854985555013021,0.01818072385761043,0.11166540781656902,0.006709134633210339,10.5,4,3.8891111111111107,1.7863571428571425,rbf,"OrderedDict([('C', 10.5), ('degree', 4), ('epsilon', 3.8891111111111107), ('gamma', 1.7863571428571425), ('kernel', 'rbf')])",-3.0947259349110054,-3.007325673084842,-3.037957323319359,-3.0466696437717355,0.03620892926308978,48
5,0.3576980431874593,0.03517555418253056,0.23583364486694336,0.022159532818939065,13.214285714285715,5,1.1118888888888887,0.001,rbf,"OrderedDict([('C', 13.214285714285715), ('degree', 5), ('epsilon', 1.1118888888888887), ('gamma', 0.001), ('kernel', 'rbf')])",-2.0057809582541584,-2.0299612508301865,-2.1381945603525647,-2.0579789231456367,0.057573622297314365,28
6,0.5017795562744141,0.07003749628251679,0.3534075419108073,0.026949215131446953,15.928571428571429,4,0.5564444444444444,2.857571428571428,rbf,"OrderedDict([('C', 15.928571428571429), ('degree', 4), ('epsilon', 0.5564444444444444), ('gamma', 2.857571428571428), ('kernel', 'rbf')])",-2.8695477321518297,-2.793612659028079,-2.852943756224624,-2.838701382468178,0.03259517081042392,45
7,0.4709164301554362,0.060731208455641554,0.13363075256347656,0.0012479342396721858,10.5,9,1.1118888888888887,1.429285714285714,poly,"OrderedDict([('C', 10.5), ('degree', 9), ('epsilon', 1.1118888888888887), ('gamma', 1.429285714285714), ('kernel', 'poly')])",-1.984312085025785,-2.0614284917497256,-2.1789282165265873,-2.0748895977673656,0.08001983375596335,31
8,0.4074106216430664,0.0888458233052541,0.11675564448038737,0.001979949635329939,20.0,3,2.2227777777777775,2.5004999999999997,sigmoid,"OrderedDict([('C', 20.0), ('degree', 3), ('epsilon', 2.2227777777777775), ('gamma', 2.5004999999999997), ('kernel', 'sigmoid')])",-2.8257344073067627,-2.7295792264607934,-2.8163619213721915,-2.7905585183799158,0.043288307931562,43
9,0.2232238451639811,0.018213732298829253,0.11095317204793294,0.0049223747036284985,7.7857142857142865,2,3.8891111111111107,3.9287857142857137,rbf,"OrderedDict([('C', 7.7857142857142865), ('degree', 2), ('epsilon', 3.8891111111111107), ('gamma', 3.9287857142857137), ('kernel', 'rbf')])",-3.0961327161025882,-3.0093310243105287,-3.0398369917529227,-3.0484335773886797,0.03595422448925489,50
10,0.4910115400950114,0.083281923545125,0.302688995997111,0.043632837541426946,13.214285714285715,5,1.1118888888888887,2.857571428571428,rbf,"OrderedDict([('C', 13.214285714285715), ('degree', 5), ('epsilon', 1.1118888888888887), ('gamma', 2.857571428571428), ('kernel', 'rbf')])",-2.8891209165942224,-2.815009928024312,-2.868091687067403,-2.857407510561979,0.031184647690828484,46
11,0.13905088106791177,0.018752390366509452,0.05798800786336263,0.0029179680472916133,15.928571428571429,2,3.8891111111111107,0.001,rbf,"OrderedDict([('C', 15.928571428571429), ('degree', 2), ('epsilon', 3.8891111111111107), ('gamma', 0.001), ('kernel', 'rbf')])",-2.371831626659643,-2.393158240071849,-2.4090506358380437,-2.391346834189845,0.0152484874552087,41
12,0.7328344186147054,0.053640163710775006,0.17717488606770834,0.009992977083072415,10.5,5,0.5564444444444444,1.429285714285714,poly,"OrderedDict([('C', 10.5), ('degree', 5), ('epsilon', 0.5564444444444444), ('gamma', 1.429285714285714), ('kernel', 'poly')])",-2.2423204992557393,-2.309781105495389,-2.4261798283392095,-2.3260938110301126,0.07594138746056243,38
13,0.16835467020670572,0.02586377133612817,0.07701826095581055,0.004538889164524731,13.214285714285715,5,3.3336666666666663,0.001,rbf,"OrderedDict([('C', 13.214285714285715), ('degree', 5), ('epsilon', 3.3336666666666663), ('gamma', 0.001), ('kernel', 'rbf')])",-2.2554592099208386,-2.2947786555095826,-2.325026383825241,-2.2917547497518878,0.02848105716419148,37
