,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_degree,param_epsilon,param_gamma,param_kernel,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0,0.19281911849975586,0.008894765807277194,0.07927791277567546,0.002296015598821404,18.642857142857142,2,1.1118888888888887,0.35807142857142854,poly,"OrderedDict([('C', 18.642857142857142), ('degree', 2), ('epsilon', 1.1118888888888887), ('gamma', 0.35807142857142854), ('kernel', 'poly')])",-2.842669389723953,-2.965379139343408,-3.2802076246485354,-3.029418717905299,0.18427466360846284,38
1,0.10790403683980306,0.0059569822513317015,0.0960841178894043,0.004987449772575934,2.357142857142857,2,3.3336666666666663,1.0722142857142856,rbf,"OrderedDict([('C', 2.357142857142857), ('degree', 2), ('epsilon', 3.3336666666666663), ('gamma', 1.0722142857142856), ('kernel', 'rbf')])",-2.77019989483049,-3.0510938379593586,-2.951233508387779,-2.924175747059209,0.11625960507331974,31
2,0.1305375893910726,0.0071713769389169365,0.052934726079305015,0.0008932447088969219,5.071428571428571,3,2.2227777777777775,0.7151428571428571,poly,"OrderedDict([('C', 5.071428571428571), ('degree', 3), ('epsilon', 2.2227777777777775), ('gamma', 0.7151428571428571), ('kernel', 'poly')])",-2.9142046512426134,-2.7295368872946915,-4.306587398112056,-3.316776312216453,0.7039507724653075,44
3,0.07716512680053711,0.004378623290722549,0.07140946388244629,0.005461450399967793,20.0,2,4.444555555555556,1.0722142857142856,rbf,"OrderedDict([('C', 20.0), ('degree', 2), ('epsilon', 4.444555555555556), ('gamma', 1.0722142857142856), ('kernel', 'rbf')])",-2.9698888181984002,-3.215237478359781,-3.1546240603416233,-3.1132501189666013,0.10434827431706434,40
4,0.19674078623453775,0.00423167848214033,0.1888545354207357,0.011930433982642133,13.214285714285715,4,1.6673333333333331,3.571714285714285,rbf,"OrderedDict([('C', 13.214285714285715), ('degree', 4), ('epsilon', 1.6673333333333331), ('gamma', 3.571714285714285), ('kernel', 'rbf')])",-2.7209562065061523,-3.0295954141020722,-2.9066506895753137,-2.8857341033945123,0.1268665119970685,27
5,0.10375547409057617,0.0034389498714687394,0.04300506909688314,0.001463646839186596,13.214285714285715,3,2.778222222222222,1.0722142857142856,poly,"OrderedDict([('C', 13.214285714285715), ('degree', 3), ('epsilon', 2.778222222222222), ('gamma', 1.0722142857142856), ('kernel', 'poly')])",-2.828303451321757,-2.7361889225628144,-4.010025698286748,-3.1915060240571065,0.5800012151871577,43
6,0.14726010958353677,0.0037874039413033395,0.15053343772888184,0.010104944550599366,2.357142857142857,5,2.2227777777777775,2.1434285714285712,rbf,"OrderedDict([('C', 2.357142857142857), ('degree', 5), ('epsilon', 2.2227777777777775), ('gamma', 2.1434285714285712), ('kernel', 'rbf')])",-2.6704555116565922,-3.0014586032234347,-2.8398205328095716,-2.8372448825631995,0.13514371890040025,20
7,0.12746087710062662,0.01095741504081992,0.05238771438598633,0.002625534985023317,10.5,4,2.778222222222222,2.5004999999999997,poly,"OrderedDict([('C', 10.5), ('degree', 4), ('epsilon', 2.778222222222222), ('gamma', 2.5004999999999997), ('kernel', 'poly')])",-3.89956310666075,-3.5734810830212136,-8.927032247636971,-5.466692145772979,2.450448610215593,47
8,0.15435274442036948,0.0032704659096002187,0.0641635258992513,0.0011478398204159592,18.642857142857142,3,1.6673333333333331,0.35807142857142854,poly,"OrderedDict([('C', 18.642857142857142), ('degree', 3), ('epsilon', 1.6673333333333331), ('gamma', 0.35807142857142854), ('kernel', 'poly')])",-3.031429541831408,-2.7269928918371233,-4.657173494024663,-3.471865309231065,0.8473043680476562,45
9,0.1815173625946045,0.0025141154116213424,0.08100684483846028,0.0011425480234441801,9.142857142857142,3,1.1118888888888887,0.7151428571428571,poly,"OrderedDict([('C', 9.142857142857142), ('degree', 3), ('epsilon', 1.1118888888888887), ('gamma', 0.7151428571428571), ('kernel', 'poly')])",-3.170988573733737,-2.751969581555052,-5.051207535679377,-3.6580552303227223,0.9998497348408685,46
10,0.19019579887390137,0.00907047258068089,0.06133008003234863,0.0019172474474121034,2.357142857142857,4,2.2227777777777775,2.5004999999999997,poly,"OrderedDict([('C', 2.357142857142857), ('degree', 4), ('epsilon', 2.2227777777777775), ('gamma', 2.5004999999999997), ('kernel', 'poly')])",-4.112329779535112,-3.6759611363481572,-10.398950598131801,-6.062413838005024,3.071565041053973,48
11,0.12067810694376628,0.004491254564169636,0.06713612874348958,0.0006003890892361899,2.357142857142857,5,4.444555555555556,2.1434285714285712,rbf,"OrderedDict([('C', 2.357142857142857), ('degree', 5), ('epsilon', 4.444555555555556), ('gamma', 2.1434285714285712), ('kernel', 'rbf')])",-2.9197467051013337,-3.16257622598962,-3.099217152016047,-3.060513361035667,0.10284302481905254,39
12,0.18760164578755698,0.02446132970813308,0.06281447410583496,0.002317272385093378,18.642857142857142,4,2.2227777777777775,2.1434285714285712,poly,"OrderedDict([('C', 18.642857142857142), ('degree', 4), ('epsilon', 2.2227777777777775), ('gamma', 2.1434285714285712), ('kernel', 'poly')])",-4.1123290144774325,-3.675960749101552,-10.398956418726469,-6.062415394101817,3.0715680424875558,49
13,0.12343875567118327,0.0242090987484357,0.08840036392211914,0.004194075707195276,2.357142857142857,4,3.8891111111111107,2.1434285714285712,rbf,"OrderedDict([('C', 2.357142857142857), ('degree', 4), ('epsilon', 3.8891111111111107), ('gamma', 2.1434285714285712), ('kernel', 'rbf')])",-2.841538529896327,-3.0970743588612075,-3.022599928894051,-2.9870709392171952,0.1073044634106949,36
