,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_degree,param_epsilon,param_kernel,param_shrinking,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0,2.5459580421447754,0.07557000987662171,1.9510969320933025,0.027099660253924872,14.246270721377266,3,0.8445823975205091,rbf,False,"OrderedDict([('C', 14.246270721377266), ('degree', 3), ('epsilon', 0.8445823975205091), ('kernel', 'rbf'), ('shrinking', False)])",-1.893548645715173,-1.9210212624439638,-1.9129380717467255,-1.9091693266352874,0.01152790085742706,28
1,2.865600347518921,0.2673989376429412,1.9666494528452556,0.04577371477860733,7.153069046901587,5,0.908048080247112,rbf,True,"OrderedDict([('C', 7.153069046901587), ('degree', 5), ('epsilon', 0.908048080247112), ('kernel', 'rbf'), ('shrinking', True)])",-1.8819722660175622,-1.929361907946766,-1.9297825823868149,-1.913705585450381,0.022439502570468856,32
2,3.6363185246785483,0.07760746961292665,1.6494136651357014,0.033641237512257005,9.592437869843538,3,0.2852824021530291,sigmoid,True,"OrderedDict([('C', 9.592437869843538), ('degree', 3), ('epsilon', 0.2852824021530291), ('kernel', 'sigmoid'), ('shrinking', True)])",-4.969597048106068,-6.260634426923313,-8.975294233077852,-6.735175236035744,1.669389952259513,49
3,3.936342795689901,0.3270770018165887,2.7215330600738525,0.06412038257623352,3.770050685164484,5,0.16670319570619513,rbf,True,"OrderedDict([('C', 3.770050685164484), ('degree', 5), ('epsilon', 0.16670319570619513), ('kernel', 'rbf'), ('shrinking', True)])",-1.8641732740214694,-1.9210473448580099,-1.960788079563244,-1.915336232814241,0.0396490248980652,34
4,3.598334312438965,0.053902283483891596,1.7455378373463948,0.024132698100529166,15.412534566704352,3,0.06052936894520239,sigmoid,False,"OrderedDict([('C', 15.412534566704352), ('degree', 3), ('epsilon', 0.06052936894520239), ('kernel', 'sigmoid'), ('shrinking', False)])",-7.3178886398945115,-8.837027704763644,-12.315973809432549,-9.490296718030235,2.092093710976279,50
5,2.9407195250193277,0.0756402221717384,1.4258010387420654,0.035646873234047825,16.79625183635698,4,0.8656667541739557,poly,True,"OrderedDict([('C', 16.79625183635698), ('degree', 4), ('epsilon', 0.8656667541739557), ('kernel', 'poly'), ('shrinking', True)])",-2.6588405635762986,-2.9606873476659934,-5.81232257883224,-3.8106168300248435,1.4207738029850157,48
6,2.6268978913625083,0.06661360736609319,2.0289456049601235,0.042127425226788924,10.993492366924642,5,0.7742511932591559,rbf,False,"OrderedDict([('C', 10.993492366924642), ('degree', 5), ('epsilon', 0.7742511932591559), ('kernel', 'rbf'), ('shrinking', False)])",-1.886431651794506,-1.9189147950739558,-1.9154270647776668,-1.9069245038820428,0.014560421369043848,25
7,2.5946194330851235,0.06871195416641865,1.9978872934977214,0.030818198066553205,9.661274004964076,2,0.8000017097417413,rbf,False,"OrderedDict([('C', 9.661274004964076), ('degree', 2), ('epsilon', 0.8000017097417413), ('kernel', 'rbf'), ('shrinking', False)])",-1.8845453162109007,-1.920415984045424,-1.917281479199676,-1.907414259818667,0.01622133813753553,26
8,3.5922712484995523,0.05602816439799717,2.800865570704142,0.08738868973307849,1.4485008396893049,2,0.014009980339639475,rbf,True,"OrderedDict([('C', 1.4485008396893049), ('degree', 2), ('epsilon', 0.014009980339639475), ('kernel', 'rbf'), ('shrinking', True)])",-1.9373133539568328,-1.977189326867994,-2.027464030569495,-1.980655570464774,0.036885383346563064,44
9,3.1410346031188965,0.09324562506443412,2.4156673749287925,0.035194442189900615,15.984247277262202,3,0.372699580245736,rbf,False,"OrderedDict([('C', 15.984247277262202), ('degree', 3), ('epsilon', 0.372699580245736), ('kernel', 'rbf'), ('shrinking', False)])",-1.8900183572668563,-1.9180704039615617,-1.905865517649352,-1.90465142629259,0.011484332640817116,22
10,2.7410875161488852,0.23631956367292992,1.875790278116862,0.022434782200641348,13.949701160537629,6,1.0,rbf,True,"OrderedDict([('C', 13.949701160537629), ('degree', 6), ('epsilon', 1.0), ('kernel', 'rbf'), ('shrinking', True)])",-1.8960052151493314,-1.926870580714191,-1.9179383660810152,-1.9136047206481794,0.012967987762596039,31
11,3.665777842203776,0.04337682848243053,2.7365452448527017,0.08298708663215705,6.088764108648645,6,0.001,rbf,False,"OrderedDict([('C', 6.088764108648645), ('degree', 6), ('epsilon', 0.001), ('kernel', 'rbf'), ('shrinking', False)])",-1.846817650635662,-1.9209691275913183,-1.9389890426205671,-1.9022586069491825,0.039886957451725207,12
12,2.796963691711426,0.24603325403780474,1.92302672068278,0.05561461245258672,1.0,6,1.0,rbf,True,"OrderedDict([('C', 1.0), ('degree', 6), ('epsilon', 1.0), ('kernel', 'rbf'), ('shrinking', True)])",-2.0104715194140095,-2.0558728165107585,-2.106475574334305,-2.0576066367530244,0.03921266155855914,45
13,3.6269609133402505,0.06801766721759395,2.8344696362813315,0.09025197505976557,20.0,2,0.001,rbf,False,"OrderedDict([('C', 20.0), ('degree', 2), ('epsilon', 0.001), ('kernel', 'rbf'), ('shrinking', False)])",-1.901367899294075,-1.9367353430073133,-1.9110556525527498,-1.9163862982847126,0.014922597107341173,35
14,3.5718467235565186,0.06669619793342507,2.763610601425171,0.06499699347286567,8.699660016766952,4,0.018806975392041802,rbf,True,"OrderedDict([('C', 8.699660016766952), ('degree', 4), ('epsilon', 0.018806975392041802), ('kernel', 'rbf'), ('shrinking', True)])",-1.854735496639938,-1.9224690981408965,-1.926425942117457,-1.9012101789660971,0.032902241327420895,4
