,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_leaf_size,param_n_neighbors,param_p,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0,0.0034764607747395835,0.00039573329939872294,0.1936786969502767,0.016794437061615167,52,23,1,"OrderedDict([('leaf_size', 52), ('n_neighbors', 23), ('p', 1)])",-1.9289614462429114,-2.1557722416775267,-2.1208433668329767,-2.068525684917805,0.09971171483215513,23
1,0.004461924235026042,0.0008731503453103267,0.1947183609008789,0.031178204812825624,202,44,1,"OrderedDict([('leaf_size', 202), ('n_neighbors', 44), ('p', 1)])",-1.92764773770998,-2.1926648677854845,-2.136437585755092,-2.085583397083519,0.11401207885555276,33
2,0.0037113030751546225,0.0006295789886002083,0.02833692232767741,0.0029384426797689615,215,43,2,"OrderedDict([('leaf_size', 215), ('n_neighbors', 43), ('p', 2)])",-1.9824900628791708,-2.2443846068690196,-2.2272330682424704,-2.151369245996887,0.11962072754389132,45
3,0.004450639088948567,0.0006083036980130873,0.19021852811177573,0.013795792164075773,123,6,1,"OrderedDict([('leaf_size', 123), ('n_neighbors', 6), ('p', 1)])",-1.9869955602355072,-2.2442254218891917,-2.1161212149362476,-2.115780732353649,0.10501392726010271,37
4,0.003630399703979492,0.0005534504442709071,0.1880465348561605,0.0065044149945384854,122,43,1,"OrderedDict([('leaf_size', 122), ('n_neighbors', 43), ('p', 1)])",-1.92608548268453,-2.1881911209682525,-2.1376707078408947,-2.083982437164559,0.11353902181244714,32
5,0.005018711090087891,0.0002915444933389099,0.027123292287190754,0.004530516745529624,127,26,2,"OrderedDict([('leaf_size', 127), ('n_neighbors', 26), ('p', 2)])",-2.0096662488503343,-2.224828534898344,-2.205754596679277,-2.146749793475985,0.0972449739408873,43
6,0.0040789445241292315,0.00032403563336902294,0.025785446166992188,0.0025935177637342833,208,9,2,"OrderedDict([('leaf_size', 208), ('n_neighbors', 9), ('p', 2)])",-2.0233166446256035,-2.214522600363306,-2.183392246812386,-2.1404104972670983,0.08376754531787127,39
7,0.00424949328104655,0.0004514695847867387,0.023064613342285156,0.0038560418857461164,210,11,2,"OrderedDict([('leaf_size', 210), ('n_neighbors', 11), ('p', 2)])",-2.009131936264822,-2.2123406725291055,-2.202922946100348,-2.1414651849647584,0.09365269145938854,40
8,0.004334847132364909,0.00032484665315295647,0.027293841044108074,0.005997729859987417,41,30,2,"OrderedDict([('leaf_size', 41), ('n_neighbors', 30), ('p', 2)])",-2.0106989605072463,-2.218361584105359,-2.219662004098361,-2.1495741829036557,0.09820104656529417,44
9,0.0031256675720214844,0.00031712975246204296,0.012883186340332031,0.0014453820736593681,247,14,2,"OrderedDict([('leaf_size', 247), ('n_neighbors', 14), ('p', 2)])",-2.0139373926630433,-2.2312667534059947,-2.1899806662763464,-2.1450616041151283,0.09423836575166726,41
10,0.004132509231567383,0.0004611744242835269,0.1988652547200521,0.01153620487543502,300,30,1,"OrderedDict([('leaf_size', 300), ('n_neighbors', 30), ('p', 1)])",-1.9223668735507247,-2.14809281462307,-2.148497103642987,-2.0729855972722606,0.10650364880770102,25
11,0.0031194686889648438,0.0004278962387737301,0.15974879264831543,0.0232289893130119,298,19,1,"OrderedDict([('leaf_size', 298), ('n_neighbors', 19), ('p', 1)])",-1.9242098240846683,-2.1294729817868925,-2.113290224187518,-2.05565767668636,0.09318216523232685,15
12,0.00582575798034668,0.0016684920667224584,0.18557079633076987,0.012533938403780746,3,50,1,"OrderedDict([('leaf_size', 3), ('n_neighbors', 50), ('p', 1)])",-1.9400189379347825,-2.21235230746594,-2.1512523333333333,-2.1012078595780186,0.11667534173975598,35
13,0.004215796788533528,0.00042998133970358277,0.19001475969950357,0.005572499689288205,5,16,1,"OrderedDict([('leaf_size', 5), ('n_neighbors', 16), ('p', 1)])",-1.932442558933424,-2.1251379269414175,-2.124383420252732,-2.0606546353758577,0.0906601519571717,21
14,0.003530263900756836,0.00047352190690424004,0.1797795295715332,0.022627945844054836,300,17,1,"OrderedDict([('leaf_size', 300), ('n_neighbors', 17), ('p', 1)])",-1.9270283807544757,-2.114798755249238,-2.129625637737062,-2.0571509245802586,0.09220942258376326,17
15,0.003741582234700521,0.00039207635506707523,0.16964403788248697,0.027701345080526497,299,35,1,"OrderedDict([('leaf_size', 299), ('n_neighbors', 35), ('p', 1)])",-1.927735483152174,-2.1604514868820557,-2.14490417704918,-2.0776970490278033,0.10622863123365212,29
16,0.0035622119903564453,0.0002628476620042326,0.1920445760091146,0.02267084293414273,3,18,1,"OrderedDict([('leaf_size', 3), ('n_neighbors', 18), ('p', 1)])",-1.9188501065821255,-2.1226736462306994,-2.124233329538555,-2.0552523607837934,0.09645306066157257,1
17,0.003622929255167643,0.00039846320788697125,0.03603490193684896,0.028514933420130614,8,50,2,"OrderedDict([('leaf_size', 8), ('n_neighbors', 50), ('p', 2)])",-1.9839793173913045,-2.253679725122616,-2.2308857597814207,-2.156181600765114,0.12212046242231257,47
18,0.003333409627278646,0.0003314318022064671,0.028876304626464844,0.025895981474757773,6,3,2,"OrderedDict([('leaf_size', 6), ('n_neighbors', 3), ('p', 2)])",-2.2536972545289857,-2.419088030881017,-2.265113122040073,-2.3126328024833587,0.07541934874489396,50
19,0.0028433799743652344,0.0006363706156970073,0.156463623046875,0.00976417219169967,3,30,1,"OrderedDict([('leaf_size', 3), ('n_neighbors', 30), ('p', 1)])",-1.9223668735507247,-2.14809281462307,-2.148497103642987,-2.0729855972722606,0.10650364880770102,25
