,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_leaf_size,param_n_neighbors,param_p,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0,0.005460421244303386,0.001097545944591263,0.10872054100036621,0.08889946903502949,212,27,2,"OrderedDict([('leaf_size', 212), ('n_neighbors', 27), ('p', 2)])",-2.102644526972625,-2.32459458229892,-2.2237789950414895,-2.2170060347710114,0.09073720849411036,38
1,0.005408048629760742,0.00046817351701424197,0.21223990122477213,0.0022123825344729535,190,28,1,"OrderedDict([('leaf_size', 190), ('n_neighbors', 28), ('p', 1)])",-1.9854053171583852,-2.2246536147333593,-2.125112929254489,-2.111723953715411,0.09813047597500096,21
2,0.0060456593831380205,0.0007298311482173218,0.04522252082824707,0.008041023156234235,32,5,2,"OrderedDict([('leaf_size', 32), ('n_neighbors', 5), ('p', 2)])",-2.2101599298913044,-2.3876004539509537,-2.3306557775956285,-2.309472053812629,0.07397228088785043,50
3,0.0069382985432942705,0.00045394965636133604,0.054512977600097656,0.015156082494266476,169,49,2,"OrderedDict([('leaf_size', 169), ('n_neighbors', 49), ('p', 2)])",-2.09280330994898,-2.3676272125340603,-2.248604535965206,-2.2363450194827488,0.11253078442900616,48
4,0.007283369700113933,8.098615858578047e-05,0.04793834686279297,0.018228117023779047,223,37,2,"OrderedDict([('leaf_size', 223), ('n_neighbors', 37), ('p', 2)])",-2.0944052372209163,-2.3365230454378088,-2.2395890612169547,-2.2235057812918932,0.09949627190268283,42
5,0.0068359375,0.0002816927367406203,0.21196889877319336,0.0021957217862723713,65,18,1,"OrderedDict([('leaf_size', 65), ('n_neighbors', 18), ('p', 1)])",-1.9823200792572462,-2.200274922494702,-2.1154868116272008,-2.0993606044597164,0.08970737368753451,1
6,0.0065644582112630205,2.7883310768924412e-05,0.2449491024017334,0.0206764680723917,67,17,1,"OrderedDict([('leaf_size', 67), ('n_neighbors', 17), ('p', 1)])",-2.0031741922953965,-2.19683439910242,-2.127653552555448,-2.109220714651088,0.08012863017274612,19
7,0.007477998733520508,0.00020996931071713538,0.12372549374898274,0.005000358326813543,212,11,2,"OrderedDict([('leaf_size', 212), ('n_neighbors', 11), ('p', 2)])",-2.1429814671442684,-2.321750191231112,-2.239780973919523,-2.2348375440983013,0.07306568871779018,47
8,0.007535219192504883,1.9181462469783773e-05,0.12033851941426595,0.0003162662567398375,149,24,2,"OrderedDict([('leaf_size', 149), ('n_neighbors', 24), ('p', 2)])",-2.0944437747961957,-2.3382591309037237,-2.2370652414617487,-2.2232560490538895,0.10001500658960513,41
9,0.007538795471191406,0.0003684579993909543,0.13196667035420737,0.014663075799094205,217,26,2,"OrderedDict([('leaf_size', 217), ('n_neighbors', 26), ('p', 2)])",-2.103201923704013,-2.3303180629846993,-2.2310857885666247,-2.2215352584184456,0.09296538656949861,40
10,0.007134278615315755,0.0003509498988588539,0.2683962980906169,0.00808596271908995,3,48,1,"OrderedDict([('leaf_size', 3), ('n_neighbors', 48), ('p', 1)])",-2.011873310688406,-2.2515225665871936,-2.1306722381033696,-2.1313560384596566,0.09783759383252118,33
11,0.007145404815673828,0.0004973739955760486,0.27234403292338055,0.015174451233134921,300,7,1,"OrderedDict([('leaf_size', 300), ('n_neighbors', 7), ('p', 1)])",-2.0868847364130434,-2.207524162319969,-2.156039800546448,-2.150149566426487,0.04942663866296598,37
12,0.0066683292388916016,0.00010488900161597605,0.273459513982137,0.01704961280575922,125,50,1,"OrderedDict([('leaf_size', 125), ('n_neighbors', 50), ('p', 1)])",-2.0132675504347826,-2.2534397112806546,-2.1326885659562844,-2.1331319425572404,0.09805037531273253,34
13,0.006860494613647461,0.0005718591760130582,0.2705480257670085,0.017421265976997433,3,3,1,"OrderedDict([('leaf_size', 3), ('n_neighbors', 3), ('p', 1)])",-2.247484938405797,-2.35988106448683,-2.308447816029144,-2.3052712729739238,0.045940469514667376,49
14,0.006840308507283528,0.00036923858652653755,0.2694111665089925,0.013174387450677403,69,21,1,"OrderedDict([('leaf_size', 69), ('n_neighbors', 21), ('p', 1)])",-1.9973546917701863,-2.1946802148695994,-2.1321575931563883,-2.1080641665987248,0.0823395831059052,18
15,0.006765683492024739,0.0002612549358369807,0.2705630461374919,0.012290007812176927,300,17,1,"OrderedDict([('leaf_size', 300), ('n_neighbors', 17), ('p', 1)])",-2.0031741922953965,-2.19683439910242,-2.127653552555448,-2.109220714651088,0.08012863017274612,19
16,0.00695649782816569,0.00039576035081107295,0.2625393867492676,0.0011606556487240977,3,34,1,"OrderedDict([('leaf_size', 3), ('n_neighbors', 34), ('p', 1)])",-1.9658365705722505,-2.2361471761500242,-2.1205124418193506,-2.107498729513875,0.11073684542774657,17
17,0.006814400355021159,0.0005293376550120697,0.2646963596343994,0.0034229464538676514,300,39,1,"OrderedDict([('leaf_size', 300), ('n_neighbors', 39), ('p', 1)])",-1.9907886205406913,-2.2423975204359676,-2.1271619835365,-2.1201160415043865,0.10283966031633168,27
18,0.00676417350769043,0.0004380248300391223,0.2708906332651774,0.012699169889883588,3,26,1,"OrderedDict([('leaf_size', 3), ('n_neighbors', 26), ('p', 1)])",-1.9812617411162208,-2.226336322993083,-2.136830807692308,-2.1148096239338705,0.10125573916613925,25
19,0.006714264551798503,0.0004600745693429633,0.26454798380533856,0.003822742746404493,93,39,1,"OrderedDict([('leaf_size', 93), ('n_neighbors', 39), ('p', 1)])",-1.9907886205406913,-2.2423975204359676,-2.1271619835365,-2.1201160415043865,0.10283966031633168,27
