,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_activation,param_alpha,param_batch_size,param_layer1,param_layer2,param_learning_rate,param_learning_rate_init,param_num_hl,param_solver,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0,170.36835050582886,16.681761631428614,0.13228480021158853,0.004257079529579677,tanh,8.554922692180031e-05,32,1856,465,adaptive,0.024582251994345918,1,adam,"OrderedDict([('activation', 'tanh'), ('alpha', 8.554922692180031e-05), ('batch_size', 32), ('layer1', 1856), ('layer2', 465), ('learning_rate', 'adaptive'), ('learning_rate_init', 0.024582251994345918), ('num_hl', 1), ('solver', 'adam')])",-2.5670231978124893,-2.6530143775339217,-2.5595042170254554,-2.593180597457289,0.04242007933917693,6
1,122.2920667330424,25.96846059689741,0.19063742955525717,0.0017386031889066412,tanh,7.295397294057624e-05,256,1817,708,adaptive,0.0863860861336323,1,adam,"OrderedDict([('activation', 'tanh'), ('alpha', 7.295397294057624e-05), ('batch_size', 256), ('layer1', 1817), ('layer2', 708), ('learning_rate', 'adaptive'), ('learning_rate_init', 0.0863860861336323), ('num_hl', 1), ('solver', 'adam')])",-2.747787304598931,-2.5831296995345543,-2.6261047046741814,-2.652340569602556,0.06973412451489824,12
2,243.7189223766327,73.13115572470596,0.3778441747029622,0.006093031508913389,tanh,8.60743799515415e-05,256,1329,865,adaptive,0.0345299901982922,2,adam,"OrderedDict([('activation', 'tanh'), ('alpha', 8.60743799515415e-05), ('batch_size', 256), ('layer1', 1329), ('layer2', 865), ('learning_rate', 'adaptive'), ('learning_rate_init', 0.0345299901982922), ('num_hl', 2), ('solver', 'adam')])",-3.4601191180079884,-2.9753278309939404,-3.147311110135169,-3.1942526863790324,0.20067931578578813,28
3,286.7171930472056,17.002304999341057,0.09440366427103679,0.0006448980713918441,tanh,9.949448008912348e-05,32,1629,336,adaptive,0.005298378913088809,1,adam,"OrderedDict([('activation', 'tanh'), ('alpha', 9.949448008912348e-05), ('batch_size', 32), ('layer1', 1629), ('layer2', 336), ('learning_rate', 'adaptive'), ('learning_rate_init', 0.005298378913088809), ('num_hl', 1), ('solver', 'adam')])",-2.8035509583098617,-2.9665447913463434,-2.9898628980559003,-2.9199862159040353,0.08288067902471084,22
4,496.8088026046753,24.5975684536366,0.5015481313069662,0.00645477389560238,tanh,6.336074374753616e-05,32,1830,561,adaptive,0.03766298260923314,2,adam,"OrderedDict([('activation', 'tanh'), ('alpha', 6.336074374753616e-05), ('batch_size', 32), ('layer1', 1830), ('layer2', 561), ('learning_rate', 'adaptive'), ('learning_rate_init', 0.03766298260923314), ('num_hl', 2), ('solver', 'adam')])",-2.3110574031684865,-2.3590628792405934,-2.6810770142851785,-2.450399098898086,0.1642870595811456,2
5,178.33988666534424,29.07804566303334,0.16434971491495767,0.0027019126715759727,tanh,7.184165189152472e-05,512,1372,593,adaptive,0.05468396047971517,1,adam,"OrderedDict([('activation', 'tanh'), ('alpha', 7.184165189152472e-05), ('batch_size', 512), ('layer1', 1372), ('layer2', 593), ('learning_rate', 'adaptive'), ('learning_rate_init', 0.05468396047971517), ('num_hl', 1), ('solver', 'adam')])",-2.719208969727126,-2.689666548825226,-2.5822886644187117,-2.6637213943236877,0.05883114698308963,13
6,333.68088459968567,57.2534097621538,0.24329121907552084,0.0037277237526950795,tanh,1.1076104773298494e-05,512,1870,916,adaptive,0.05401312318666191,1,adam,"OrderedDict([('activation', 'tanh'), ('alpha', 1.1076104773298494e-05), ('batch_size', 512), ('layer1', 1870), ('layer2', 916), ('learning_rate', 'adaptive'), ('learning_rate_init', 0.05401312318666191), ('num_hl', 1), ('solver', 'adam')])",-2.8918737009264803,-2.587408555510427,-2.79483403043448,-2.7580387622904623,0.12699127269658403,19
7,348.67874972025555,15.606312036631172,0.16657320658365884,0.0021737613552263307,tanh,6.0031301668790956e-05,32,1139,610,adaptive,0.001376041852607034,1,adam,"OrderedDict([('activation', 'tanh'), ('alpha', 6.0031301668790956e-05), ('batch_size', 32), ('layer1', 1139), ('layer2', 610), ('learning_rate', 'adaptive'), ('learning_rate_init', 0.001376041852607034), ('num_hl', 1), ('solver', 'adam')])",-2.8782012557870376,-3.0706995161755444,-3.2195300915277487,-3.0561436211634434,0.13972651642101871,25
8,204.25854778289795,20.457925018821154,0.23419904708862305,0.0012116734470778785,tanh,8.653585867872845e-05,32,1750,861,adaptive,0.04470624874806383,1,adam,"OrderedDict([('activation', 'tanh'), ('alpha', 8.653585867872845e-05), ('batch_size', 32), ('layer1', 1750), ('layer2', 861), ('learning_rate', 'adaptive'), ('learning_rate_init', 0.04470624874806383), ('num_hl', 1), ('solver', 'adam')])",-2.510646058969838,-2.655833279782632,-2.779440407892619,-2.648639915548363,0.10985265546770848,11
9,285.69877513249713,0.12809351299108732,0.16975665092468262,0.0032682672233311514,tanh,6.545671266412673e-05,512,1389,616,adaptive,0.0008752568927859446,1,adam,"OrderedDict([('activation', 'tanh'), ('alpha', 6.545671266412673e-05), ('batch_size', 512), ('layer1', 1389), ('layer2', 616), ('learning_rate', 'adaptive'), ('learning_rate_init', 0.0008752568927859446), ('num_hl', 1), ('solver', 'adam')])",-3.030599458181368,-3.124835851535365,-3.0818217504417107,-3.079085686719481,0.038520462022249805,26
