,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_activation,param_alpha,param_batch_size,param_layer1,param_layer2,param_learning_rate,param_learning_rate_init,param_num_hl,param_solver,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0,85.23588013648987,26.587110307386848,0.5572847525278727,0.000988505708963014,tanh,8.104796796247933e-05,256,1608,532,adaptive,0.0726525706731026,2,adam,"OrderedDict([('activation', 'tanh'), ('alpha', 8.104796796247933e-05), ('batch_size', 256), ('layer1', 1608), ('layer2', 532), ('learning_rate', 'adaptive'), ('learning_rate_init', 0.0726525706731026), ('num_hl', 2), ('solver', 'adam')])",-2.7879678296280437,-5.0004799970403155,-2.8051297232269854,-3.5311925166317817,1.0389667648556487,26
1,604.8825541337332,259.53702489980145,0.49171026547749835,0.0016203856560015257,tanh,6.708914796206507e-05,8,1197,649,adaptive,0.04839449415302777,2,adam,"OrderedDict([('activation', 'tanh'), ('alpha', 6.708914796206507e-05), ('batch_size', 8), ('layer1', 1197), ('layer2', 649), ('learning_rate', 'adaptive'), ('learning_rate_init', 0.04839449415302777), ('num_hl', 2), ('solver', 'adam')])",-2.8800953806748297,-2.7538858908865564,-2.9476937178060285,-2.860558329789138,0.08031870148267499,20
2,169.48204596837363,23.99172527209509,0.6890458265940348,0.00038124268119673694,tanh,4.4913043252657195e-05,32,1684,710,adaptive,0.014113898254974739,2,adam,"OrderedDict([('activation', 'tanh'), ('alpha', 4.4913043252657195e-05), ('batch_size', 32), ('layer1', 1684), ('layer2', 710), ('learning_rate', 'adaptive'), ('learning_rate_init', 0.014113898254974739), ('num_hl', 2), ('solver', 'adam')])",-2.626843398669079,-2.767781550261308,-2.5876557816860966,-2.660760243538828,0.07734807647098321,18
3,15.163529713948568,2.4962582452741375,0.10858043034871419,0.0004610765196801392,tanh,1.1790728694133582e-05,128,1179,743,adaptive,0.020665537800300244,1,adam,"OrderedDict([('activation', 'tanh'), ('alpha', 1.1790728694133582e-05), ('batch_size', 128), ('layer1', 1179), ('layer2', 743), ('learning_rate', 'adaptive'), ('learning_rate_init', 0.020665537800300244), ('num_hl', 1), ('solver', 'adam')])",-2.4151428215193675,-2.507651980800405,-2.448684326920421,-2.4571597097467315,0.03823924880068011,12
4,84.69482811292012,26.228428737773903,0.6059412956237793,0.002717211900134363,tanh,9.36066171205046e-05,256,1977,452,adaptive,0.05380153878146487,2,adam,"OrderedDict([('activation', 'tanh'), ('alpha', 9.36066171205046e-05), ('batch_size', 256), ('layer1', 1977), ('layer2', 452), ('learning_rate', 'adaptive'), ('learning_rate_init', 0.05380153878146487), ('num_hl', 2), ('solver', 'adam')])",-3.951306611490955,-2.5235352933308395,-2.547798125592435,-3.007546676804743,0.6674125570672315,22
5,213.15028699239096,85.9325228252267,0.33154741923014325,0.0006397713191530285,tanh,2.1812748391208614e-05,8,1132,351,adaptive,0.056464103920644715,2,adam,"OrderedDict([('activation', 'tanh'), ('alpha', 2.1812748391208614e-05), ('batch_size', 8), ('layer1', 1132), ('layer2', 351), ('learning_rate', 'adaptive'), ('learning_rate_init', 0.056464103920644715), ('num_hl', 2), ('solver', 'adam')])",-3.124594076656795,-9.110301154892976,-3.295926443060424,-5.176940558203398,2.782185338019619,30
6,69.51095620791118,4.829148066942937,0.703197717666626,0.0013792678347920007,tanh,2.834738053535023e-05,128,1710,722,adaptive,0.07062412828986422,2,adam,"OrderedDict([('activation', 'tanh'), ('alpha', 2.834738053535023e-05), ('batch_size', 128), ('layer1', 1710), ('layer2', 722), ('learning_rate', 'adaptive'), ('learning_rate_init', 0.07062412828986422), ('num_hl', 2), ('solver', 'adam')])",-2.843251927715586,-2.808789373150909,-5.7060656361832764,-3.7860356456832576,1.3577391232563565,28
7,7.608286062876384,2.9638944575184456,0.08901405334472656,0.000940841543205748,tanh,8.598608797118788e-05,32,1281,600,adaptive,0.07309210024856891,1,adam,"OrderedDict([('activation', 'tanh'), ('alpha', 8.598608797118788e-05), ('batch_size', 32), ('layer1', 1281), ('layer2', 600), ('learning_rate', 'adaptive'), ('learning_rate_init', 0.07309210024856891), ('num_hl', 1), ('solver', 'adam')])",-2.611831486620971,-3.435199680781303,-2.6788054525593488,-2.908612206653874,0.3733560891511015,21
8,5.311399380366008,0.5737573167027895,0.06419642766316731,0.0001950594600165941,tanh,5.675941145704414e-05,128,1744,435,adaptive,0.054853189674526875,1,adam,"OrderedDict([('activation', 'tanh'), ('alpha', 5.675941145704414e-05), ('batch_size', 128), ('layer1', 1744), ('layer2', 435), ('learning_rate', 'adaptive'), ('learning_rate_init', 0.054853189674526875), ('num_hl', 1), ('solver', 'adam')])",-2.4071001983842426,-2.375968579674049,-2.4985987482825696,-2.4272225087802872,0.05204626208156618,7
9,71.63340306282043,5.971626782418902,0.41446677843729657,0.0025812380783437508,tanh,6.436427650588871e-05,32,1143,517,adaptive,0.041494791348967754,2,adam,"OrderedDict([('activation', 'tanh'), ('alpha', 6.436427650588871e-05), ('batch_size', 32), ('layer1', 1143), ('layer2', 517), ('learning_rate', 'adaptive'), ('learning_rate_init', 0.041494791348967754), ('num_hl', 2), ('solver', 'adam')])",-3.416900842763132,-3.5997333528068314,-3.311343306601722,-3.442659167390562,0.11913528207673632,25
