,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_activation,param_alpha,param_hidden_layer_sizes,param_learning_rate,param_learning_rate_init,param_solver,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
13,37.40015681584676,7.1586722293954095,0.0692733923594157,0.004957838937023221,tanh,0.0001,"(1176, 588, 294, 147)",constant,0.1,adam,"{'activation': 'tanh', 'alpha': 0.0001, 'hidden_layer_sizes': (1176, 588, 294, 147), 'learning_rate': 'constant', 'learning_rate_init': 0.1, 'solver': 'adam'}",-3.0932925681227643,-2.8247542155091687,-2.8485378653399276,-2.9221948829906204,0.12137333285638925,62
14,158.38531883557638,3.0569786507844023,0.12915746370951334,0.04054134437825876,tanh,0.0001,"(1176, 588, 294, 147)",adaptive,0.0001,adam,"{'activation': 'tanh', 'alpha': 0.0001, 'hidden_layer_sizes': (1176, 588, 294, 147), 'learning_rate': 'adaptive', 'learning_rate_init': 0.0001, 'solver': 'adam'}",-1.998278856118023,-2.1321518928044827,-2.1162715636553346,-2.0822341041926133,0.05971827734131232,29
15,38.08624792098999,3.067390307020511,0.11732808748881023,0.030183636700056152,tanh,0.0001,"(1176, 588, 294, 147)",adaptive,0.1,adam,"{'activation': 'tanh', 'alpha': 0.0001, 'hidden_layer_sizes': (1176, 588, 294, 147), 'learning_rate': 'adaptive', 'learning_rate_init': 0.1, 'solver': 'adam'}",-2.8408369251196364,-2.783136782826999,-2.8169654741044927,-2.813646394017043,0.023672611806583976,45
16,272.5722379684448,35.812116816077406,0.09398158391316731,0.037414173138084296,tanh,0.0001,"(1176, 294, 147, 73)",constant,0.0001,adam,"{'activation': 'tanh', 'alpha': 0.0001, 'hidden_layer_sizes': (1176, 294, 147, 73), 'learning_rate': 'constant', 'learning_rate_init': 0.0001, 'solver': 'adam'}",-2.1416539799646195,-2.2250622669917575,-2.108297172386722,-2.1583378064476997,0.049107259335179496,39
17,21.33561611175537,4.491924639086904,0.0598758856455485,0.009447686927601381,tanh,0.0001,"(1176, 294, 147, 73)",constant,0.1,adam,"{'activation': 'tanh', 'alpha': 0.0001, 'hidden_layer_sizes': (1176, 294, 147, 73), 'learning_rate': 'constant', 'learning_rate_init': 0.1, 'solver': 'adam'}",-2.930997959838982,-2.839986706771396,-2.817717581512713,-2.8629007493743637,0.04900272808557786,56
18,309.58632310231525,39.449749274353806,0.07185618082682292,0.017519471185481965,tanh,0.0001,"(1176, 294, 147, 73)",adaptive,0.0001,adam,"{'activation': 'tanh', 'alpha': 0.0001, 'hidden_layer_sizes': (1176, 294, 147, 73), 'learning_rate': 'adaptive', 'learning_rate_init': 0.0001, 'solver': 'adam'}",-1.9943378475326798,-2.063593575233874,-2.117437497756891,-2.058456306841148,0.05038633820283007,23
19,31.613338073094685,18.81724785301776,0.08416001001993816,0.02951148178021119,tanh,0.0001,"(1176, 294, 147, 73)",adaptive,0.1,adam,"{'activation': 'tanh', 'alpha': 0.0001, 'hidden_layer_sizes': (1176, 294, 147, 73), 'learning_rate': 'adaptive', 'learning_rate_init': 0.1, 'solver': 'adam'}",-2.9207260075019565,-2.762591792889225,-2.818040779505931,-2.833786193299037,0.06551104741152938,49
20,207.76033465067545,8.596002742698918,0.09021711349487305,0.037851449614021364,tanh,0.05,"(1176, 588)",constant,0.0001,adam,"{'activation': 'tanh', 'alpha': 0.05, 'hidden_layer_sizes': (1176, 588), 'learning_rate': 'constant', 'learning_rate_init': 0.0001, 'solver': 'adam'}",-2.0427407779899043,-2.0117463194486382,-2.1319639756883237,-2.0621503577089553,0.05096155450659807,25
21,96.97967751820882,16.076583316133913,0.11110909779866536,0.038566568053303905,tanh,0.05,"(1176, 588)",constant,0.1,adam,"{'activation': 'tanh', 'alpha': 0.05, 'hidden_layer_sizes': (1176, 588), 'learning_rate': 'constant', 'learning_rate_init': 0.1, 'solver': 'adam'}",-2.917471769512903,-2.715163121424425,-3.026958059129571,-2.8865309833556334,0.12915628770514526,58
22,178.43713529904684,15.626782297089362,0.10066779454549153,0.03771124866764127,tanh,0.05,"(1176, 588)",adaptive,0.0001,adam,"{'activation': 'tanh', 'alpha': 0.05, 'hidden_layer_sizes': (1176, 588), 'learning_rate': 'adaptive', 'learning_rate_init': 0.0001, 'solver': 'adam'}",-2.002094513772121,-2.024459265154181,-2.24087092417113,-2.089141567699144,0.10767665713498475,31
