,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_alpha,param_l1_ratio,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0,0.04706621170043945,0.0011209280535880695,0.0010488828023274739,1.1115409522895715e-05,0.3605676086493643,0.3718674680176748,"OrderedDict([('alpha', 0.3605676086493643), ('l1_ratio', 0.3718674680176748)])",-1.9601327049429174,-1.9992188953405878,-2.030508570740346,-1.9966200570079504,0.02878953620320881,35
1,0.021498998006184895,0.00044281249058346475,0.0010635852813720703,5.049335519013898e-05,0.767741248420049,0.6908563626285675,"OrderedDict([('alpha', 0.767741248420049), ('l1_ratio', 0.6908563626285675)])",-2.0923564850383576,-2.33676895018654,-2.256796026840122,-2.2286404873550065,0.10174777338342195,43
2,0.02364508310953776,0.0006989917267018474,0.001072247823079427,5.319827984895395e-05,0.640393516280516,0.6123780736376017,"OrderedDict([('alpha', 0.640393516280516), ('l1_ratio', 0.6123780736376017)])",-2.0509582634565477,-2.246191435683518,-2.19363958018656,-2.1635964264422083,0.08248612489233778,42
3,0.03095865249633789,0.0009587102685721136,0.0011156400044759114,3.424016936390263e-05,0.8486407970737662,0.24647333100486896,"OrderedDict([('alpha', 0.8486407970737662), ('l1_ratio', 0.24647333100486896)])",-2.0002900267409562,-2.1247962452464497,-2.1120179429929298,-2.079034738326779,0.05592476168431616,39
4,5.353244384129842,0.2322493787445495,0.0011064211527506511,0.00013966151642809006,0.0006366630337325374,0.6590637907559393,"OrderedDict([('alpha', 0.0006366630337325374), ('l1_ratio', 0.6590637907559393)])",-3.960825853168852,-3.4183320925152687,-3.966671751421907,-3.781943232368676,0.25712297887809354,49
5,4.581082105636597,0.18885273122148666,0.001207431157430013,0.00034034630507418553,0.001874535108790419,0.6283065337622513,"OrderedDict([('alpha', 0.001874535108790419), ('l1_ratio', 0.6283065337622513)])",-3.1225849612000998,-2.6967606714036174,-3.099989901055241,-2.9731118445529865,0.1956273879283636,47
6,6.567763090133667,0.2063388978487878,0.0009830792744954426,9.608659849365579e-06,0.0003984019272849027,0.31428806351477295,"OrderedDict([('alpha', 0.0003984019272849027), ('l1_ratio', 0.31428806351477295)])",-4.394886927720382,-3.6836303409123707,-4.386374100656831,-4.154963789763195,0.3333011971779306,50
7,0.027884562810262043,0.0013608508716805676,0.0010222593943277996,4.225924010692308e-05,0.680780318010682,0.39919260103383636,"OrderedDict([('alpha', 0.680780318010682), ('l1_ratio', 0.39919260103383636)])",-2.0133749175004856,-2.1661463615881282,-2.1438104549517822,-2.107777244680132,0.06737246081308816,40
8,0.07375613848368327,0.011355601354394942,0.0010711352030436199,3.9354395207555066e-05,0.08345411794863132,0.7836079077350844,"OrderedDict([('alpha', 0.08345411794863132), ('l1_ratio', 0.7836079077350844)])",-1.910575455518266,-1.887809082677071,-2.034974383977986,-1.9444529740577743,0.06467957520754815,24
9,4.778310298919678,0.10031718392638381,0.0009995301564534504,5.844362993510638e-06,0.0014996584046480213,0.493462699011416,"OrderedDict([('alpha', 0.0014996584046480213), ('l1_ratio', 0.493462699011416)])",-3.33890114538525,-2.857313865816057,-3.4406606691140253,-3.212291893438444,0.25442195953230523,48
10,3.591853221257528,1.4610144016099578,0.0010037422180175781,2.48390512764721e-05,0.039235285883192084,0.2,"OrderedDict([('alpha', 0.039235285883192084), ('l1_ratio', 0.2)])",-2.0798661307366304,-1.9068938596459968,-2.067119581938802,-2.0179598574404767,0.07870773162413955,38
11,0.9197758833567301,0.48016592225137483,0.0010639031728108723,5.682315026127159e-05,0.018159789780912636,0.8,"OrderedDict([('alpha', 0.018159789780912636), ('l1_ratio', 0.8)])",-2.099965022319559,-1.8765023540163712,-2.062286904964084,-2.0129180937666713,0.09767923924962926,37
12,0.42582233746846515,0.14191698615149717,0.0010921955108642578,4.2989895668809944e-05,0.18825145721649045,0.2,"OrderedDict([('alpha', 0.18825145721649045), ('l1_ratio', 0.2)])",-1.9242795962180423,-1.8710965949358471,-2.015319308855769,-1.9368985000032193,0.059550960541716214,16
13,0.018529494603474934,0.0005230470503412642,0.001100778579711914,2.0978125483950553e-05,3.0,0.2,"OrderedDict([('alpha', 3.0), ('l1_ratio', 0.2)])",-2.170203214590027,-2.442787786868485,-2.344468721684861,-2.319153241047791,0.11271273938933402,45
14,0.24567357699076334,0.14156178230438926,0.0011378129323323567,3.68536482117908e-05,0.05130613708573089,0.8,"OrderedDict([('alpha', 0.05130613708573089), ('l1_ratio', 0.8)])",-1.923403703704567,-1.8751487479033906,-2.042200842932913,-1.946917764846957,0.07019631479878027,27
15,1.1420503457387288,0.3997885819582686,0.0010488828023274739,1.750965840881776e-05,0.10486144584937096,0.2,"OrderedDict([('alpha', 0.10486144584937096), ('l1_ratio', 0.2)])",-1.9777626013432796,-1.8468025768537326,-2.0250478728077748,-1.9498710170015958,0.07539364137756345,29
16,0.12790020306905112,0.022328417341715395,0.001096169153849284,2.9021416597491644e-05,0.1291967627238597,0.4613604682903225,"OrderedDict([('alpha', 0.1291967627238597), ('l1_ratio', 0.4613604682903225)])",-1.915627241725121,-1.8875134413912644,-2.0250386639245317,-1.9427264490136391,0.05932437377085253,21
17,0.3497163454691569,0.13538534388401413,0.001038948694864909,1.745546782428901e-05,0.21482124105783826,0.2,"OrderedDict([('alpha', 0.21482124105783826), ('l1_ratio', 0.2)])",-1.9196298833084604,-1.8772537715659074,-2.013092617307495,-1.9366587573939542,0.05674818597727092,13
