,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_alpha,param_l1_ratio,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0,0.05081295967102051,0.004906322194136298,0.00268705685933431,7.011136941522461e-05,0.6421014877974852,0.47245538103079476,"OrderedDict([('alpha', 0.6421014877974852), ('l1_ratio', 0.47245538103079476)])",-23.650951445051042,-23.593810929828997,-23.889854373191152,-23.71153891602373,0.12822782152242454,44
1,0.04511181513468424,0.0013210734862213586,0.0029376347859700522,0.00012784992371755338,9.423573060092428,0.09714877357041987,"OrderedDict([('alpha', 9.423573060092428), ('l1_ratio', 0.09714877357041987)])",-28.133468152487062,-27.43406463935678,-28.036680309733864,-27.868071033859238,0.3094221867481063,45
2,4.035564819971721,0.3903336347257854,0.005733410517374675,0.0016472059515342812,0.0003098020052394834,0.9896521364389674,"OrderedDict([('alpha', 0.0003098020052394834), ('l1_ratio', 0.9896521364389674)])",-35.50847018266247,-31.00655072505907,-39.57133199376308,-35.36211763382821,3.4980884157492347,48
3,4.617987632751465,0.47771175382790426,0.0048745473225911455,0.001501059154970559,2.186732906520852e-05,0.9019565188993532,"OrderedDict([('alpha', 2.186732906520852e-05), ('l1_ratio', 0.9019565188993532)])",-42.249473656672144,-36.34874142497839,-45.416310933834076,-41.33817533849487,3.7574860982680844,49
4,5.046486218770345,0.9189565203180468,0.004060665766398112,9.343906358686595e-05,0.0005127667566030837,0.6175013493970699,"OrderedDict([('alpha', 0.0005127667566030837), ('l1_ratio', 0.6175013493970699)])",-22.717878651744225,-22.042843559203558,-25.766071946822365,-23.508931385923386,1.619656491931108,43
5,4.961042483647664,0.6070520167988644,0.004521608352661133,0.0006725882632431985,1.5068732441023895e-05,0.2811242501614853,"OrderedDict([('alpha', 1.5068732441023895e-05), ('l1_ratio', 0.2811242501614853)])",-34.109292349655746,-30.45557945453209,-37.54004382048741,-34.034971874891745,2.8926978742861658,47
6,0.041773080825805664,0.0031206848713518235,0.0026083787282307944,0.00013289939111166323,3.943690417353997,0.5166278255514203,"OrderedDict([('alpha', 3.943690417353997), ('l1_ratio', 0.5166278255514203)])",-28.437753247879176,-27.694056860395474,-28.38281599827883,-28.171542035517827,0.3383771019583825,46
7,5.247489849726359,0.4282031550352371,0.003597895304361979,0.00020905383705833885,0.0024392386912969453,0.23724666698122238,"OrderedDict([('alpha', 0.0024392386912969453), ('l1_ratio', 0.23724666698122238)])",-18.55773241301934,-18.829217943891468,-21.331957967955603,-19.57296944162214,1.2487210991511308,40
8,5.143977244695027,0.26455018264830527,0.007846593856811523,0.00444126794694562,1.3605698692600691e-05,0.8848063534717554,"OrderedDict([('alpha', 1.3605698692600691e-05), ('l1_ratio', 0.8848063534717554)])",-43.968431900016824,-37.28939372548513,-46.435097957233985,-42.56430786091198,3.863474231961981,50
9,0.08148431777954102,0.009416152951443569,0.0029037793477376304,0.00016600341460765793,0.42680088209353567,0.9886783341733428,"OrderedDict([('alpha', 0.42680088209353567), ('l1_ratio', 0.9886783341733428)])",-21.53630663681386,-21.14137394722232,-22.61608262013286,-21.764587734723012,0.6233113787058863,42
10,4.980044047037761,0.6042545373061963,0.005229075749715169,0.0021044284284980203,0.0028483994020498085,0.26430304593288173,"OrderedDict([('alpha', 0.0028483994020498085), ('l1_ratio', 0.26430304593288173)])",-18.443675513629774,-18.78144159247873,-21.24703198394868,-19.490716363352394,1.2495345534419708,39
11,7.589249769846599,1.0319660535048052,0.005709171295166016,0.0032523966047781814,0.04596012012361006,0.0,"OrderedDict([('alpha', 0.04596012012361006), ('l1_ratio', 0.0)])",-19.060903047936712,-19.344531405350857,-20.96439061942519,-19.789941690904254,0.8384942756951662,41
12,4.8179967403411865,0.1231840058499409,0.003668069839477539,0.0002610626466846479,0.0033666861807636057,0.28663754212038706,"OrderedDict([('alpha', 0.0033666861807636057), ('l1_ratio', 0.28663754212038706)])",-18.342445540524935,-18.700951111695616,-21.182191009570072,-19.408529220596876,1.2626793383879662,38
13,2.5349482695261636,1.3820812594992613,0.0031379063924153647,0.0007197664426485067,0.027292608401989205,0.6731349586223886,"OrderedDict([('alpha', 0.027292608401989205), ('l1_ratio', 0.6731349586223886)])",-18.447578281020213,-18.871079907885044,-20.823076141545016,-19.380578110150093,1.0345494461915825,36
14,4.814671754837036,0.5485465109769787,0.005430301030476888,0.0019525973765333968,0.005015511764921546,0.3319122061297263,"OrderedDict([('alpha', 0.005015511764921546), ('l1_ratio', 0.3319122061297263)])",-18.141239720804403,-18.6895877621237,-20.984008598862754,-19.271612027263618,1.2313672366988468,35
15,5.115244070688884,0.693431406544386,0.005490303039550781,0.002051239350040741,0.006764007689998088,0.3689792917753429,"OrderedDict([('alpha', 0.006764007689998088), ('l1_ratio', 0.3689792917753429)])",-18.060957300041977,-18.678773464286518,-20.866454233392503,-19.202061665907,1.2036267880109124,33
16,5.2946657339731855,0.5725353020641916,0.0037877559661865234,0.0005866134947145912,0.009441218715664192,0.4351152406413181,"OrderedDict([('alpha', 0.009441218715664192), ('l1_ratio', 0.4351152406413181)])",-18.065273927504837,-18.707026333068498,-20.798100468628245,-19.190133576400527,1.1667989493730377,32
17,5.434585014979045,0.32754333471501423,0.003626267115275065,0.00021138693129020339,0.006420487359440109,0.0,"OrderedDict([('alpha', 0.006420487359440109), ('l1_ratio', 0.0)])",-18.129396838421098,-18.544598114384268,-20.678610159351248,-19.117535037385537,1.116785469463004,2
18,5.675020058949788,0.21002872221602506,0.005553245544433594,0.002266034690550347,0.007887770135930016,0.0,"OrderedDict([('alpha', 0.007887770135930016), ('l1_ratio', 0.0)])",-18.137184918819457,-18.579434471397175,-20.651195092819616,-19.122604827678753,1.0958519716644723,16
19,5.472819964090983,0.274161603638497,0.003993829091389974,5.5967065179235755e-05,0.008678502339656802,0.138371325163259,"OrderedDict([('alpha', 0.008678502339656802), ('l1_ratio', 0.138371325163259)])",-18.107594749082363,-18.636014956626408,-20.67735991536752,-19.140323207025432,1.1080518522850633,26
20,5.822300513585408,0.20947303653078123,0.004064480463663737,0.00031924549448292077,0.0072412923429802534,0.05255499101061665,"OrderedDict([('alpha', 0.0072412923429802534), ('l1_ratio', 0.05255499101061665)])",-18.118991987095594,-18.57429065371003,-20.673399251244415,-19.122227297350012,1.1124822221400976,14
21,2.3591503302256265,0.8627629850670289,0.003749211629231771,0.0007043231962587131,0.02715914268006472,0.5365364276859269,"OrderedDict([('alpha', 0.02715914268006472), ('l1_ratio', 0.5365364276859269)])",-18.485441757892055,-18.923226359304355,-20.779483289802528,-19.396050468999647,0.9944273449459563,37
22,5.705865780512492,0.5095271008097193,0.004133542378743489,0.0007935617225127849,0.008057518498111276,0.0,"OrderedDict([('alpha', 0.008057518498111276), ('l1_ratio', 0.0)])",-18.14062022088021,-18.575920155322716,-20.64842657630387,-19.1216556508356,1.094118702388013,13
23,5.3203807671864825,0.3978510275320454,0.0034301280975341797,0.0007191223166710209,0.006919364120872237,0.07162806739113775,"OrderedDict([('alpha', 0.006919364120872237), ('l1_ratio', 0.07162806739113775)])",-18.11664264930688,-18.590012862961373,-20.689892022398798,-19.132182511555683,1.1182915630317962,25
24,5.748685916264852,0.38641557746342386,0.0038781960805257163,0.0008712657054781332,0.00811336216958223,0.0,"OrderedDict([('alpha', 0.00811336216958223), ('l1_ratio', 0.0)])",-18.141927059445898,-18.58055537096908,-20.647810177650996,-19.123430869355325,1.092671925629223,20
25,5.271838665008545,0.4781487357237388,0.006773710250854492,0.0021608273535370414,0.006498211038840462,0.0,"OrderedDict([('alpha', 0.006498211038840462), ('l1_ratio', 0.0)])",-18.129510868919198,-18.556614728206394,-20.67831355348653,-19.12147971687071,1.114571105187539,12
26,5.42599081993103,0.36399698706518224,0.0042972564697265625,0.0009078772250983753,0.0065830107184839766,0.14357339876130323,"OrderedDict([('alpha', 0.0065830107184839766), ('l1_ratio', 0.14357339876130323)])",-18.10666462706544,-18.59629397382465,-20.72422404174326,-19.14239421421112,1.1362433503303,29
27,4.8224507967631025,0.5166705551441679,0.004153649012247722,0.0003270728882604478,0.009609704385013277,0.560214969124317,"OrderedDict([('alpha', 0.009609704385013277), ('l1_ratio', 0.560214969124317)])",-18.072275346970965,-18.738565367614388,-20.918164520545375,-19.243001745043575,1.2153499746225145,34
28,5.623894055684407,0.4037819521246476,0.0036727587381998696,0.0003476619978428757,0.007667206154720337,0.0351241741150407,"OrderedDict([('alpha', 0.007667206154720337), ('l1_ratio', 0.0351241741150407)])",-18.125405978505956,-18.574248402500523,-20.663761363138924,-19.121138581381803,1.1060827773397413,11
29,5.891464392344157,0.4356456727287143,0.005773067474365234,0.0021475171882848186,0.008122500463968462,0.0,"OrderedDict([('alpha', 0.008122500463968462), ('l1_ratio', 0.0)])",-18.142114199743947,-18.58140262637653,-20.64773065781403,-19.1237491613115,1.0924386425805632,21
