,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_bagging_temperature,param_depth,param_iterations,param_l2_leaf_reg,param_learning_rate,param_random_strength,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0,34.60835393269857,0.04972344694400194,0.054603258768717446,0.0013678372936190815,9,3,2500,489,0.06611410491200091,0,"OrderedDict([('bagging_temperature', 9), ('depth', 3), ('iterations', 2500), ('l2_leaf_reg', 489), ('learning_rate', 0.06611410491200091), ('random_strength', 0)])",-19.66842238838516,-19.76321974359607,-19.28258721310192,-19.571409781694385,0.20786292235510623,36
1,57.40016301472982,0.22981422929790454,0.05677954355875651,0.002991134901744812,5,4,2500,133,0.024843778297467804,1,"OrderedDict([('bagging_temperature', 5), ('depth', 4), ('iterations', 2500), ('l2_leaf_reg', 133), ('learning_rate', 0.024843778297467804), ('random_strength', 1)])",-19.088659871767373,-18.84733707898674,-18.554604936537284,-18.830200629097135,0.21836347664237524,32
2,21.939126173655193,0.09585751598559568,0.055876572926839195,0.00547399648286637,2,2,2500,175,0.0010740701320098081,0,"OrderedDict([('bagging_temperature', 2), ('depth', 2), ('iterations', 2500), ('l2_leaf_reg', 175), ('learning_rate', 0.0010740701320098081), ('random_strength', 0)])",-21.883707848147736,-22.14141831877881,-21.303025123432853,-21.7760504301198,0.35063597195470664,40
3,55.996643463770546,0.48826383538131246,0.053424676259358726,0.001656985206492365,0,4,2500,70,0.09432166053719772,0,"OrderedDict([('bagging_temperature', 0), ('depth', 4), ('iterations', 2500), ('l2_leaf_reg', 70), ('learning_rate', 0.09432166053719772), ('random_strength', 0)])",-20.001180901599454,-18.69912644319333,-19.488457044066596,-19.39625479628646,0.5355448278999617,35
4,35.30881905555725,0.14316209210901729,0.06130687395731608,0.0024610738192109793,8,3,2500,229,0.011251101539991365,0,"OrderedDict([('bagging_temperature', 8), ('depth', 3), ('iterations', 2500), ('l2_leaf_reg', 229), ('learning_rate', 0.011251101539991365), ('random_strength', 0)])",-20.817106257082937,-21.16470214153814,-20.265733732139072,-20.749180710253384,0.37013192261538574,39
5,34.88309105237325,0.2411084854573031,0.05666907628377279,0.0038430731235594884,4,3,2500,95,0.09374309882343587,1,"OrderedDict([('bagging_temperature', 4), ('depth', 3), ('iterations', 2500), ('l2_leaf_reg', 95), ('learning_rate', 0.09374309882343587), ('random_strength', 1)])",-18.58518289341485,-18.142854189890492,-18.824382537272456,-18.517473206859265,0.28232212489918795,23
6,58.43764774004618,0.08130777734437479,0.054929097493489586,0.0019515965316738463,4,4,2500,355,0.009724604137725058,0,"OrderedDict([('bagging_temperature', 4), ('depth', 4), ('iterations', 2500), ('l2_leaf_reg', 355), ('learning_rate', 0.009724604137725058), ('random_strength', 0)])",-20.26903617280869,-20.213330051593438,-19.569819873898034,-20.017395366100054,0.31729970994852014,37
7,21.757376114527386,0.029649063958855727,0.051881631215413414,0.0005996562157580352,5,2,2500,158,0.07954212889675516,0,"OrderedDict([('bagging_temperature', 5), ('depth', 2), ('iterations', 2500), ('l2_leaf_reg', 158), ('learning_rate', 0.07954212889675516), ('random_strength', 0)])",-18.470204562480234,-17.890774773567934,-18.76495616812749,-18.37531183472522,0.3631361085361,17
8,21.972126722335815,0.14519410432651964,0.0568075974782308,0.003132084255735111,3,2,2500,227,0.05937602677495434,1,"OrderedDict([('bagging_temperature', 3), ('depth', 2), ('iterations', 2500), ('l2_leaf_reg', 227), ('learning_rate', 0.05937602677495434), ('random_strength', 1)])",-18.479507443338672,-18.072747315166033,-18.609572973925797,-18.387275910810164,0.2286561299858093,18
9,22.082179307937622,0.11340910189653176,0.05972170829772949,0.00315471314217861,3,2,2500,116,0.04287511890804281,0,"OrderedDict([('bagging_temperature', 3), ('depth', 2), ('iterations', 2500), ('l2_leaf_reg', 116), ('learning_rate', 0.04287511890804281), ('random_strength', 0)])",-18.37872648784524,-18.11985688537109,-18.417886731269153,-18.305490034828495,0.13223244886527508,12
10,85.74100756645203,0.6105881012648123,0.061826626459757485,0.002303952280669552,0,5,2500,0,0.047093211086254985,1,"OrderedDict([('bagging_temperature', 0), ('depth', 5), ('iterations', 2500), ('l2_leaf_reg', 0), ('learning_rate', 0.047093211086254985), ('random_strength', 1)])",-18.42308079167382,-18.66222831720103,-19.131633901747144,-18.738981003540665,0.29431288180427756,29
11,22.21782898902893,0.14025096677711532,0.05595803260803223,0.003104870827656596,10,2,2500,0,0.1,1,"OrderedDict([('bagging_temperature', 10), ('depth', 2), ('iterations', 2500), ('l2_leaf_reg', 0), ('learning_rate', 0.1), ('random_strength', 1)])",-18.415923900961307,-18.870492384766578,-19.02781095617264,-18.771409080633507,0.2594411531892402,31
12,22.119930346806843,0.095337839791121,0.062083800633748375,0.007017942178826079,3,2,2500,109,0.04515024857367303,0,"OrderedDict([('bagging_temperature', 3), ('depth', 2), ('iterations', 2500), ('l2_leaf_reg', 109), ('learning_rate', 0.04515024857367303), ('random_strength', 0)])",-18.323560024334956,-18.14190597788631,-18.448135027495724,-18.30453367657233,0.12573930474877895,11
13,21.92111078898112,0.14122838800655724,0.057045539220174156,0.0011256882203824438,4,2,2500,4,0.050749147565101634,0,"OrderedDict([('bagging_temperature', 4), ('depth', 2), ('iterations', 2500), ('l2_leaf_reg', 4), ('learning_rate', 0.050749147565101634), ('random_strength', 0)])",-17.92797294841783,-18.237372330310613,-18.80977074681939,-18.325038675182608,0.3652906425791858,14
