,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_bagging_temperature,param_depth,param_iterations,param_l2_leaf_reg,param_learning_rate,param_random_strength,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0,178.61330556869507,2.1171435131361678,1.7198474407196045,0.022306074437506117,2,2,1500,195,0.05574796339457642,1,"OrderedDict([('bagging_temperature', 2), ('depth', 2), ('iterations', 1500), ('l2_leaf_reg', 195), ('learning_rate', 0.05574796339457642), ('random_strength', 1)])",-16.898778167417426,-17.309473001422813,-17.604584107709233,-17.270945092183155,0.2894291003344167,27
1,627.3449726104736,5.752653644734015,1.7087969779968262,0.010400553857238839,1,4,1500,118,0.0845151329155487,1,"OrderedDict([('bagging_temperature', 1), ('depth', 4), ('iterations', 1500), ('l2_leaf_reg', 118), ('learning_rate', 0.0845151329155487), ('random_strength', 1)])",-16.246259313987174,-16.89387601978894,-17.222901191646038,-16.787678841807384,0.40572217075045536,11
2,345.4764025211334,4.67334678478599,1.7652936776479085,0.0624500157792584,7,3,1500,454,0.09042114607385578,1,"OrderedDict([('bagging_temperature', 7), ('depth', 3), ('iterations', 1500), ('l2_leaf_reg', 454), ('learning_rate', 0.09042114607385578), ('random_strength', 1)])",-17.52605453055194,-18.32575586985569,-18.360096389882983,-18.070635596763537,0.38533208282904724,36
3,342.2133460044861,4.455072792222086,1.714919646581014,0.008854276779953566,7,3,1500,227,0.06697788333839791,0,"OrderedDict([('bagging_temperature', 7), ('depth', 3), ('iterations', 1500), ('l2_leaf_reg', 227), ('learning_rate', 0.06697788333839791), ('random_strength', 0)])",-17.391379478073027,-17.94600235950163,-18.044108282126132,-17.79383003990026,0.2873801594285806,35
4,346.5324540932973,4.407920446510223,1.7675150235493977,0.06180143694657388,7,3,1500,434,0.037207233088838394,1,"OrderedDict([('bagging_temperature', 7), ('depth', 3), ('iterations', 1500), ('l2_leaf_reg', 434), ('learning_rate', 0.037207233088838394), ('random_strength', 1)])",-17.98979348001405,-20.493732953688607,-19.48197403585317,-19.321833489851944,1.0284817184606256,37
5,344.7512158552806,5.178329859468997,1.818878173828125,0.007887366801860547,9,3,1500,465,0.05755501043500658,0,"OrderedDict([('bagging_temperature', 9), ('depth', 3), ('iterations', 1500), ('l2_leaf_reg', 465), ('learning_rate', 0.05755501043500658), ('random_strength', 0)])",-18.41987096246126,-22.513232528288764,-20.772320241426037,-20.56847457739202,1.6773127353413755,39
6,180.3432711760203,2.2672725229301043,1.8372514247894287,0.02977080383070038,7,2,1500,99,0.05072511184846747,1,"OrderedDict([('bagging_temperature', 7), ('depth', 2), ('iterations', 1500), ('l2_leaf_reg', 99), ('learning_rate', 0.05072511184846747), ('random_strength', 1)])",-17.150399788563476,-17.664137088110696,-18.033053414337356,-17.615863430337175,0.36195498366424,34
7,644.6900187333425,6.644401632539188,1.8610910574595134,0.028921195277338944,1,4,1500,413,0.09488676064211247,1,"OrderedDict([('bagging_temperature', 1), ('depth', 4), ('iterations', 1500), ('l2_leaf_reg', 413), ('learning_rate', 0.09488676064211247), ('random_strength', 1)])",-16.293169447532268,-16.87909720600997,-17.553909077057146,-16.908725243533127,0.5151210012021361,21
8,636.9180591106415,9.492020287780672,1.9135429859161377,0.10455300438746508,6,4,1500,6,0.002864704295482769,0,"OrderedDict([('bagging_temperature', 6), ('depth', 4), ('iterations', 1500), ('l2_leaf_reg', 6), ('learning_rate', 0.002864704295482769), ('random_strength', 0)])",-18.160802883605175,-20.54352105378835,-19.57763067104113,-19.427318202811552,0.9785301385953715,38
9,345.66182621320087,5.076876090134598,1.9327469666798909,0.14789578872240042,8,3,1500,139,0.08756786064876376,1,"OrderedDict([('bagging_temperature', 8), ('depth', 3), ('iterations', 1500), ('l2_leaf_reg', 139), ('learning_rate', 0.08756786064876376), ('random_strength', 1)])",-17.00667926687542,-17.88713605739012,-17.792092864435975,-17.561969396233838,0.39456190722867684,33
10,180.117147843043,2.009534623672699,1.8522938092549641,0.04350037200113191,5,2,1500,0,0.1,1,"OrderedDict([('bagging_temperature', 5), ('depth', 2), ('iterations', 1500), ('l2_leaf_reg', 0), ('learning_rate', 0.1), ('random_strength', 1)])",-16.898117411177168,-17.80281495618197,-17.152077447592713,-17.28433660498395,0.38099761637032886,28
11,181.98582084973654,2.227120618864821,1.8643395900726318,0.039511261131188906,0,2,1500,500,0.0001,1,"OrderedDict([('bagging_temperature', 0), ('depth', 2), ('iterations', 1500), ('l2_leaf_reg', 500), ('learning_rate', 0.0001), ('random_strength', 1)])",-25.564391625215524,-29.019186932644775,-27.2803905060842,-27.287989687981497,1.4104245140460192,40
12,179.71921435991922,1.912679938581215,1.895636796951294,0.08034721642416942,3,2,1500,0,0.06609056450554696,1,"OrderedDict([('bagging_temperature', 3), ('depth', 2), ('iterations', 1500), ('l2_leaf_reg', 0), ('learning_rate', 0.06609056450554696), ('random_strength', 1)])",-16.789429069862987,-17.15380544705257,-17.337966630504752,-17.093733715806767,0.22793248054318682,22
13,620.7028730710348,12.372662074416263,1.827087163925171,0.014842277031892068,0,4,1500,85,0.09776028358135277,1,"OrderedDict([('bagging_temperature', 0), ('depth', 4), ('iterations', 1500), ('l2_leaf_reg', 85), ('learning_rate', 0.09776028358135277), ('random_strength', 1)])",-16.988355154585996,-17.25991688975469,-17.94084977085443,-17.396373938398373,0.40064688783557384,30
