,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_fit_intercept,param_max_iter,param_penalty,param_solver,param_tol,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0,16.785965363184612,0.5267849756243627,0.006699005762736003,0.002107960959095022,928,True,500,l2,liblinear,0.005,"OrderedDict([('C', 928), ('fit_intercept', True), ('max_iter', 500), ('penalty', 'l2'), ('solver', 'liblinear'), ('tol', 0.005)])",-25.73641304347826,-29.05177111716621,-24.685792349726775,-26.49132550345708,1.8606203743387046,49
1,56.03947647412618,2.7921248161810612,0.0063826243082682295,0.001317343239503004,702,True,500,l2,sag,0.005,"OrderedDict([('C', 702), ('fit_intercept', True), ('max_iter', 500), ('penalty', 'l2'), ('solver', 'sag'), ('tol', 0.005)])",-24.660326086956523,-25.275204359673026,-24.131147540983605,-24.68889266253772,0.4674958381474405,5
2,29.336724917093914,7.1426751731312805,0.00810988744099935,0.005281545840068703,859,True,500,l2,newton-cg,0.005,"OrderedDict([('C', 859), ('fit_intercept', True), ('max_iter', 500), ('penalty', 'l2'), ('solver', 'newton-cg'), ('tol', 0.005)])",-25.67391304347826,-27.779291553133515,-24.882513661202186,-26.11190608593799,1.222486255608592,45
3,17.701476335525513,0.3397219133838508,0.006158272425333659,0.0013804419716441593,507,True,500,l2,liblinear,0.005,"OrderedDict([('C', 507), ('fit_intercept', True), ('max_iter', 500), ('penalty', 'l2'), ('solver', 'liblinear'), ('tol', 0.005)])",-25.328804347826086,-29.264305177111716,-24.904371584699454,-26.499160369879082,1.962915373677295,50
4,15.05031124750773,0.7084789664998233,0.004332621892293294,0.00018725573224773897,20,True,500,l2,liblinear,0.005,"OrderedDict([('C', 20), ('fit_intercept', True), ('max_iter', 500), ('penalty', 'l2'), ('solver', 'liblinear'), ('tol', 0.005)])",-24.58695652173913,-27.986376021798364,-23.81967213114754,-25.464334891561677,1.8106536445835484,42
5,26.852346022923786,3.833647528998633,0.007721344629923503,0.0032518441867497774,836,True,500,l2,newton-cg,0.005,"OrderedDict([('C', 836), ('fit_intercept', True), ('max_iter', 500), ('penalty', 'l2'), ('solver', 'newton-cg'), ('tol', 0.005)])",-25.741847826086957,-27.69482288828338,-24.549180327868854,-25.995283680746397,1.2966467210444623,44
6,24.907636086146038,3.341685692549161,0.009658098220825195,0.005443215744820313,290,False,500,l2,newton-cg,0.005,"OrderedDict([('C', 290), ('fit_intercept', False), ('max_iter', 500), ('penalty', 'l2'), ('solver', 'newton-cg'), ('tol', 0.005)])",-25.608695652173914,-27.493188010899182,-24.174863387978142,-25.75891568368375,1.358858373579608,43
7,17.95492164293925,0.6661314300427297,0.029226144154866535,0.02573044087908676,864,True,500,l2,liblinear,0.005,"OrderedDict([('C', 864), ('fit_intercept', True), ('max_iter', 500), ('penalty', 'l2'), ('solver', 'liblinear'), ('tol', 0.005)])",-25.45108695652174,-28.94822888283379,-24.60928961748634,-26.336201818947288,1.878682113762804,48
8,18.257345120112102,0.1330770036211902,0.028454939524332683,0.02487771489386311,908,True,500,l2,liblinear,0.005,"OrderedDict([('C', 908), ('fit_intercept', True), ('max_iter', 500), ('penalty', 'l2'), ('solver', 'liblinear'), ('tol', 0.005)])",-25.059782608695652,-29.141689373297,-24.60928961748634,-26.270253866492997,2.0387238469335425,47
9,16.760625918706257,0.3556408271343467,0.005382935206095378,0.0006410779987958807,407,True,500,l2,liblinear,0.005,"OrderedDict([('C', 407), ('fit_intercept', True), ('max_iter', 500), ('penalty', 'l2'), ('solver', 'liblinear'), ('tol', 0.005)])",-25.195652173913043,-29.13351498637602,-24.33606557377049,-26.221744244686516,2.0886245745155567,46
10,56.09658726056417,2.992488508642142,0.01040975252787272,0.0026809839653525115,671,True,500,l2,sag,0.005,"OrderedDict([('C', 671), ('fit_intercept', True), ('max_iter', 500), ('penalty', 'l2'), ('solver', 'sag'), ('tol', 0.005)])",-24.8125,-25.329700272479563,-24.26502732240437,-24.802409198294644,0.4347094745265666,32
11,56.04287417729696,2.868928511611912,0.005840301513671875,0.0008898295205064593,892,True,500,l2,sag,0.005,"OrderedDict([('C', 892), ('fit_intercept', True), ('max_iter', 500), ('penalty', 'l2'), ('solver', 'sag'), ('tol', 0.005)])",-24.869565217391305,-25.291553133514988,-24.02185792349727,-24.72765875813452,0.5279738402418457,18
12,56.09188334147135,2.3890280430030906,0.007472991943359375,0.001331656120656472,830,False,500,l2,sag,0.005,"OrderedDict([('C', 830), ('fit_intercept', False), ('max_iter', 500), ('penalty', 'l2'), ('solver', 'sag'), ('tol', 0.005)])",-25.10326086956522,-25.182561307901906,-24.07377049180328,-24.7865308897568,0.5050364201706938,30
13,56.076260805130005,2.222678355387946,0.00662080446879069,0.0003779202637916959,157,True,500,l2,sag,0.005,"OrderedDict([('C', 157), ('fit_intercept', True), ('max_iter', 500), ('penalty', 'l2'), ('solver', 'sag'), ('tol', 0.005)])",-24.866847826086957,-25.174386920980925,-24.092896174863387,-24.711376973977092,0.45499739770412856,12
14,56.22499934832255,2.6002106320218603,0.008202075958251953,0.000653360208173908,346,True,500,l2,sag,0.005,"OrderedDict([('C', 346), ('fit_intercept', True), ('max_iter', 500), ('penalty', 'l2'), ('solver', 'sag'), ('tol', 0.005)])",-24.82336956521739,-25.294277929155314,-24.16393442622951,-24.760527306867402,0.4635953485009235,25
