,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_fit_intercept,param_max_iter,param_penalty,param_solver,param_tol,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0,16.63275408744812,1.3199847100877735,0.007885217666625977,0.003665213523481569,190,True,500,l2,newton-cg,0.005,"OrderedDict([('C', 190), ('fit_intercept', True), ('max_iter', 500), ('penalty', 'l2'), ('solver', 'newton-cg'), ('tol', 0.005)])",-26.27445652173913,-26.501362397820163,-25.10928961748634,-25.961702845681874,0.6098239105687687,43
1,159.88903284072876,7.558036997665191,0.008320013682047525,0.0009424459818590252,426,True,500,l2,saga,0.005,"OrderedDict([('C', 426), ('fit_intercept', True), ('max_iter', 500), ('penalty', 'l2'), ('solver', 'saga'), ('tol', 0.005)])",-25.07608695652174,-25.474114441416894,-26.338797814207652,-25.629666404048763,0.527103397407911,42
2,34.737144947052,0.6312464689359853,0.0054238637288411455,0.0002206070104957365,655,True,500,l2,liblinear,0.005,"OrderedDict([('C', 655), ('fit_intercept', True), ('max_iter', 500), ('penalty', 'l2'), ('solver', 'liblinear'), ('tol', 0.005)])",-27.46195652173913,-26.95367847411444,-25.0,-26.47187833195119,1.0612590043512324,47
3,89.7760632832845,4.986889702914975,0.007422208786010742,0.001024051751543088,906,False,500,l2,sag,0.005,"OrderedDict([('C', 906), ('fit_intercept', False), ('max_iter', 500), ('penalty', 'l2'), ('solver', 'sag'), ('tol', 0.005)])",-25.141304347826086,-24.585831062670298,-25.316939890710383,-25.014691767068925,0.31161203315878616,1
4,34.29982312520345,0.806644655329394,0.005732059478759766,0.0002633935120013423,458,True,500,l2,liblinear,0.005,"OrderedDict([('C', 458), ('fit_intercept', True), ('max_iter', 500), ('penalty', 'l2'), ('solver', 'liblinear'), ('tol', 0.005)])",-27.345108695652176,-27.087193460490465,-25.7103825136612,-26.71422822326795,0.7175930711547843,50
5,34.706414779027305,0.7714522199220964,0.005532423655192058,0.00033721740054127973,891,True,500,l2,liblinear,0.005,"OrderedDict([('C', 891), ('fit_intercept', True), ('max_iter', 500), ('penalty', 'l2'), ('solver', 'liblinear'), ('tol', 0.005)])",-27.567934782608695,-26.95640326975477,-25.12568306010929,-26.550007037490918,1.0376308888397392,48
6,18.095726410547893,1.32701891489662,0.012942314147949219,0.000720943959139065,394,True,500,l2,newton-cg,0.005,"OrderedDict([('C', 394), ('fit_intercept', True), ('max_iter', 500), ('penalty', 'l2'), ('solver', 'newton-cg'), ('tol', 0.005)])",-26.304347826086957,-26.8283378746594,-25.256830601092897,-26.12983876727975,0.6533242362066166,45
7,15.03693143526713,1.2568440702914327,0.010228236516316732,0.002553613511160323,996,True,500,l2,newton-cg,0.005,"OrderedDict([('C', 996), ('fit_intercept', True), ('max_iter', 500), ('penalty', 'l2'), ('solver', 'newton-cg'), ('tol', 0.005)])",-26.45923913043478,-26.542234332425068,-25.781420765027324,-26.260964742629056,0.34077741584884125,46
8,14.383220195770264,0.9499494899399665,0.012508074442545572,0.0034777571339045994,653,False,500,l2,lbfgs,0.005,"OrderedDict([('C', 653), ('fit_intercept', False), ('max_iter', 500), ('penalty', 'l2'), ('solver', 'lbfgs'), ('tol', 0.005)])",-26.008152173913043,-26.893732970027248,-25.10928961748634,-26.003724920475545,0.7285026744570485,44
9,34.54534697532654,0.8874393313112277,0.009125630060831705,0.0017257867469916187,944,True,500,l2,liblinear,0.005,"OrderedDict([('C', 944), ('fit_intercept', True), ('max_iter', 500), ('penalty', 'l2'), ('solver', 'liblinear'), ('tol', 0.005)])",-27.733695652173914,-26.95640326975477,-25.42622950819672,-26.705442810041802,0.9585878035439265,49
10,140.70626163482666,5.922914836905578,0.012320359547932943,0.005208609891203058,1,False,500,l2,saga,0.005,"OrderedDict([('C', 1), ('fit_intercept', False), ('max_iter', 500), ('penalty', 'l2'), ('solver', 'saga'), ('tol', 0.005)])",-24.855978260869566,-25.989100817438693,-25.6448087431694,-25.496629273825885,0.4743132216883919,39
11,89.04761123657227,5.573911630340864,0.010521570841471354,0.0026191930282928907,64,False,500,l2,sag,0.005,"OrderedDict([('C', 64), ('fit_intercept', False), ('max_iter', 500), ('penalty', 'l2'), ('solver', 'sag'), ('tol', 0.005)])",-25.46195652173913,-24.896457765667574,-25.62295081967213,-25.32712170235961,0.31153743570347736,37
12,89.36197757720947,5.1367836872617385,0.010002374649047852,0.0008925588133847893,1000,False,500,l2,sag,0.005,"OrderedDict([('C', 1000), ('fit_intercept', False), ('max_iter', 500), ('penalty', 'l2'), ('solver', 'sag'), ('tol', 0.005)])",-25.429347826086957,-24.817438692098094,-25.226775956284154,-25.1578541581564,0.2545202778530913,20
13,89.03396932284038,5.4544640258754535,0.012038628260294596,0.0028528108248082502,1000,True,500,l2,sag,0.005,"OrderedDict([('C', 1000), ('fit_intercept', True), ('max_iter', 500), ('penalty', 'l2'), ('solver', 'sag'), ('tol', 0.005)])",-25.429347826086957,-24.662125340599456,-25.2896174863388,-25.12703021767507,0.33365006669468655,19
14,89.33473714192708,5.296073136637079,0.01014089584350586,0.0010780419393824983,1000,False,500,l2,sag,0.005,"OrderedDict([('C', 1000), ('fit_intercept', False), ('max_iter', 500), ('penalty', 'l2'), ('solver', 'sag'), ('tol', 0.005)])",-25.39673913043478,-24.78201634877384,-25.3551912568306,-25.177982245346403,0.280503475779588,26
